Region,State,City,SubCategory,ProductName,Quantity,Sales,Profit
Central,Illinois,Bloomington,Art,NULL,9,67.46000000000001,6.91
Central,Illinois,Bloomington,Binders,"GBC Instant Report Kit",4,5.18,-7.76
Central,Illinois,Bloomington,Binders,NULL,4,5.18,-7.76
Central,Illinois,Bloomington,Envelopes,"Security-Tint Envelopes",2,12.22,4.43
Central,Illinois,Bloomington,Envelopes,NULL,2,12.22,4.43
Central,Illinois,Bloomington,Furnishings,"Howard Miller 11-1/2" Diameter Ridgewood Wall Clock"",2,41.55,-19.74
Central,Illinois,Bloomington,Furnishings,NULL,2,41.55,-19.74
Central,Illinois,Bloomington,Storage,"Tennsco Double-Tier Lockers",1,180.02,-15.75
Central,Illinois,Bloomington,Storage,NULL,1,180.02,-15.75
Central,Illinois,Bloomington,Tables,"Bevis 44 x 96 Conference Tables",6,617.7,-407.68
Central,Illinois,Bloomington,Tables,NULL,6,617.7,-407.68
Central,Illinois,Bloomington,NULL,NULL,27,963.95,-432.12
Central,Illinois,Bolingbrook,Appliances,"Holmes Odor Grabber",2,5.77,-13.55
Central,Illinois,Bolingbrook,Appliances,NULL,2,5.77,-13.55
Central,Illinois,Bolingbrook,Binders,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",5,9.98,-16.47
Central,Illinois,Bolingbrook,Binders,NULL,5,9.98,-16.47
Central,Illinois,Bolingbrook,Fasteners,Staples,8,12.03,2.26
Central,Illinois,Bolingbrook,Fasteners,NULL,8,12.03,2.26
Central,Illinois,Bolingbrook,Paper,"Xerox 206",2,10.37,3.63
Central,Illinois,Bolingbrook,Paper,NULL,2,10.37,3.63
Central,Illinois,Bolingbrook,Phones,"Geemarc AmpliPOWER60",2,148.48,16.7
Central,Illinois,Bolingbrook,Phones,NULL,2,148.48,16.7
Central,Illinois,Bolingbrook,Supplies,"Acme Tagit Stainless Steel Antibacterial Scissors",4,31.68,2.77
Central,Illinois,Bolingbrook,Supplies,NULL,4,31.68,2.77
Central,Illinois,Bolingbrook,NULL,NULL,23,218.31,-4.66
Central,Illinois,"Buffalo Grove",Accessories,"Logitech?Gaming G510s - Keyboard",7,475.94,95.19
Central,Illinois,"Buffalo Grove",Accessories,NULL,7,475.94,95.19
Central,Illinois,"Buffalo Grove",Tables,"Chromcraft Rectangular Conference Tables",3,355.46,-184.84
Central,Illinois,"Buffalo Grove",Tables,NULL,3,355.46,-184.84
Central,Illinois,"Buffalo Grove",NULL,NULL,10,831.4,-89.65
Central,Illinois,"Carol Stream",Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",6,382.12,-92.8
Central,Illinois,"Carol Stream",Chairs,"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs",2,408.42,-5.83
Central,Illinois,"Carol Stream",Chairs,NULL,8,790.54,-98.63
Central,Illinois,"Carol Stream",Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6§ x 11§",2,11.17,3.77
Central,Illinois,"Carol Stream",Paper,NULL,2,11.17,3.77
Central,Illinois,"Carol Stream",Storage,"Adjustable Depth Letter/Legal Cart",3,435.5,48.99
Central,Illinois,"Carol Stream",Storage,"Advantus Rolling Storage Box",5,68.6,6
Central,Illinois,"Carol Stream",Storage,NULL,8,504.1,54.99
Central,Illinois,"Carol Stream",NULL,NULL,18,1305.81,-39.87
Central,Illinois,Champaign,Furnishings,"Eldon "L"" Workstation Diamond Chairmat"",5,151.96,-182.35
Central,Illinois,Champaign,Furnishings,NULL,5,151.96,-182.35
Central,Illinois,Champaign,NULL,NULL,5,151.96,-182.35
Central,Illinois,Chicago,Accessories,"Belkin F8E887 USB Wired Ergonomic Keyboard",4,95.97,1.2
Central,Illinois,Chicago,Accessories,"Belkin Standard 104 key USB Keyboard",3,35.02,-2.19
Central,Illinois,Chicago,Accessories,"Hypercom P1300 Pinpad",2,100.8,21.42
Central,Illinois,Chicago,Accessories,"Imation?Secure+ Hardware Encrypted USB 2.0?Flash Drive; 16GB",7,408.74,76.64
Central,Illinois,Chicago,Accessories,"Kensington Expert Mouse Optical USB Trackball for PC or Mac",3,227.98,28.5
Central,Illinois,Chicago,Accessories,"Kensington Orbit Wireless Mobile Trackball for PC and Mac",4,191.97,28.8
Central,Illinois,Chicago,Accessories,"Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver",2,79.98,14
Central,Illinois,Chicago,Accessories,"Kingston Digital DataTraveler 32GB USB 2.0",3,40.68,-7.12
Central,Illinois,Chicago,Accessories,"Kingston Digital DataTraveler 8GB USB 2.0",4,19.04,-1.43
Central,Illinois,Chicago,Accessories,"Lenovo 17-Key USB Numeric Keypad",3,81.58,2.04
Central,Illinois,Chicago,Accessories,"Logitech Desktop MK120 Mouse and keyboard Combo",2,26.18,-3.27
Central,Illinois,Chicago,Accessories,"Logitech G600 MMO Gaming Mouse",4,255.97,51.19
Central,Illinois,Chicago,Accessories,"Logitech Wireless Performance Mouse MX for PC and Mac",7,559.95,125.97999999999999
Central,Illinois,Chicago,Accessories,"Maxell 4.7GB DVD-R",3,68.11,17.88
Central,Illinois,Chicago,Accessories,"Maxell 4.7GB DVD+R 5/Pack",3,2.38,0.74
Central,Illinois,Chicago,Accessories,"Maxell 4.7GB DVD+RW 3/Pack",2,25.49,4.78
Central,Illinois,Chicago,Accessories,"Maxell Pro 80 Minute CD-R, 10/Pack",11,153.82,38.46
Central,Illinois,Chicago,Accessories,"Memorex Micro Travel Drive 8 GB",6,62.4,19.5
Central,Illinois,Chicago,Accessories,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",3,95.98,-10.8
Central,Illinois,Chicago,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",4,23.84,3.28
Central,Illinois,Chicago,Accessories,NULL,80,2555.8800000000006,409.5999999999999
Central,Illinois,Chicago,Appliances,"3M Replacement Filter for Office Air Cleaner for 20' x 33' Room",7,53.09,-108.83
Central,Illinois,Chicago,Appliances,"Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors",3,26.41,-71.3
Central,Illinois,Chicago,Appliances,"Avanti 4.4 Cu. Ft. Refrigerator",5,180.98,-470.55
Central,Illinois,Chicago,Appliances,"Belkin 6 Outlet Metallic Surge Strip",2,4.36,-11.76
Central,Illinois,Chicago,Appliances,"Belkin 7-Outlet SurgeMaster Home Series",2,5.59,-15.09
Central,Illinois,Chicago,Appliances,"Belkin 8 Outlet SurgeMaster II Gold Surge Protector",2,23.99,-62.38
Central,Illinois,Chicago,Appliances,"Belkin F9S820V06 8 Outlet Surge",9,58.46,-146.16
Central,Illinois,Chicago,Appliances,"Bionaire 99.97% HEPA Air Cleaner",4,14.02,-31.54
Central,Illinois,Chicago,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",3,2.33,-6.3
Central,Illinois,Chicago,Appliances,"Euro Pro Shark Stick Mini Vacuum",6,73.18,-197.58
Central,Illinois,Chicago,Appliances,"Harmony Air Purifier",2,75.6,-166.32
Central,Illinois,Chicago,Appliances,"Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room",6,92.06,-225.56
Central,Illinois,Chicago,Appliances,"Hoover Shoulder Vac Commercial Portable Vacuum",2,143.13,-393.6
Central,Illinois,Chicago,Appliances,"Kensington 4 Outlet MasterPiece Compact Power Control Center",3,48.79,-126.86
Central,Illinois,Chicago,Appliances,"Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center",2,52.45,-131.12
Central,Illinois,Chicago,Appliances,"Staple holder",1,2.39,-6.34
Central,Illinois,Chicago,Appliances,"Tripp Lite TLP810NET Broadband Surge for Modem/Fax",2,20.39,-53.01
Central,Illinois,Chicago,Appliances,NULL,61,877.2199999999999,-2224.3
Central,Illinois,Chicago,Art,"Avery Fluorescent Highlighter Four-Color Set",5,13.36,1.67
Central,Illinois,Chicago,Art,"BIC Brite Liner Grip Highlighters",4,5.25,1.64
Central,Illinois,Chicago,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",4,13.57,3.22
Central,Illinois,Chicago,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",2,7.41,1.2
Central,Illinois,Chicago,Art,"Blackstonian Pencils",3,6.41,0.64
Central,Illinois,Chicago,Art,"Col-Erase Pencils with Erasers",4,19.46,2.19
Central,Illinois,Chicago,Art,"DIXON Ticonderoga Erasable Checking Pencils",3,13.39,3.18
Central,Illinois,Chicago,Art,"Eberhard Faber 3 1/2" Golf Pencils"",5,29.76,1.86
Central,Illinois,Chicago,Art,"Lumber Crayons",2,15.76,3.55
Central,Illinois,Chicago,Art,"Newell 309",3,27.72,3.47
Central,Illinois,Chicago,Art,"Newell 311",5,8.84,0.77
Central,Illinois,Chicago,Art,"Newell 316",7,27.38,2.74
Central,Illinois,Chicago,Art,"Newell 32",3,6.91,0.69
Central,Illinois,Chicago,Art,"Newell 325",5,16.52,2.07
Central,Illinois,Chicago,Art,"Newell 33",3,13.39,1.51
Central,Illinois,Chicago,Art,"Newell 348",3,7.87,0.89
Central,Illinois,Chicago,Art,"Prang Colored Pencils",6,14.12,4.42
Central,Illinois,Chicago,Art,"Quartet Alpha White Chalk, 12/Pack",5,8.84,2.98
Central,Illinois,Chicago,Art,"Sanford Colorific Colored Pencils, 12/Box",3,6.91,0.86
Central,Illinois,Chicago,Art,"Staples in misc. colors",16,73.36,10.01
Central,Illinois,Chicago,Art,NULL,91,336.23,49.56
Central,Illinois,Chicago,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6" Capacity"",5,10.43,-18.25
Central,Illinois,Chicago,Binders,"Acco Recycled 2" Capacity Laser Printer Hanging Data Binders"",1,2.89,-4.77
Central,Illinois,Chicago,Binders,"Avery Arch Ring Binders",9,104.58,-172.56
Central,Illinois,Chicago,Binders,"Avery Durable Slant Ring Binders",2,3.17,-4.75
Central,Illinois,Chicago,Binders,"Avery Durable Slant Ring Binders With Label Holder",1,0.84,-1.34
Central,Illinois,Chicago,Binders,"Avery Durable Slant Ring Binders, No Labels",2,1.59,-2.63
Central,Illinois,Chicago,Binders,"Avery Heavy-Duty EZD View Binder with Locking Rings",4,5.1,-8.68
Central,Illinois,Chicago,Binders,"Avery Hidden Tab Dividers for Binding Systems",6,3.58,-6.08
Central,Illinois,Chicago,Binders,"Avery Premier Heavy-Duty Binder with Round Locking Rings",3,8.57,-14.57
Central,Illinois,Chicago,Binders,"Avery Recycled Flexi-View Covers for Binding Systems",5,16.03,-25.65
Central,Illinois,Chicago,Binders,"Avery Trapezoid Ring Binder, 3" Capacity",3,24.59,-38.11
Central,Illinois,Chicago,Binders,"Binder Posts",2,2.3,-3.9
Central,Illinois,Chicago,Binders,"Cardinal Hold-It CD Pocket",3,4.79,-7.9
Central,Illinois,Chicago,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",3,3.8,-5.89
Central,Illinois,Chicago,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",5,8.69,-14.77
Central,Illinois,Chicago,Binders,"Catalog Binders with Expanding Posts",1,13.46,-23.55
Central,Illinois,Chicago,Binders,"Fellowes Black Plastic Comb Bindings",7,8.13,-13.83
Central,Illinois,Chicago,Binders,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",3,762.59,-1
Central,Illinois,Chicago,Binders,"Fellowes Presentation Covers for Comb Binding Machines",6,17.46,-30.56
Central,Illinois,Chicago,Binders,"Flexible Leather- Look Classic Collection Ring Binder",3,11.36,-17.05
Central,Illinois,Chicago,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",4,12.13,-20.62
Central,Illinois,Chicago,Binders,"GBC Twin Loop Wire Binding Elements, 9/16" Spine",9,27.4,-42.46
Central,Illinois,Chicago,Binders,"GBC VeloBind Cover Sets",3,9.26,-13.9
Central,Illinois,Chicago,Binders,"GBC White Gloss Covers, Plain Front",5,14.48,-23.89
Central,Illinois,Chicago,Binders,"Heavy-Duty E-Z-D Binders",1,2.18,-3.6
Central,Illinois,Chicago,Binders,"Ibico Covers for Plastic or Wire Binding Elements",2,4.6,-8.05
Central,Illinois,Chicago,Binders,"Ibico EPK-21 Electric Binding System",5,1,-2
Central,Illinois,Chicago,Binders,"Insertable Tab Indexes For Data Binders",3,1.91,-3.24
Central,Illinois,Chicago,Binders,"Insertable Tab Post Binder Dividers",2,3.21,-5.29
Central,Illinois,Chicago,Binders,"Peel & Stick Add-On Corner Pockets",4,1.73,-2.76
Central,Illinois,Chicago,Binders,"Performers Binder/Pad Holder, Black",10,56.06,-84.09
Central,Illinois,Chicago,Binders,"Premier Elliptical Ring Binder, Black",7,42.62,-68.19
Central,Illinois,Chicago,Binders,"Pressboard Covers with Storage Hooks, 9 1/2" x 11""",3,2.95,-4.86
Central,Illinois,Chicago,Binders,"Recycled Easel Ring Binders",6,17.9,-31.33
Central,Illinois,Chicago,Binders,"Satellite Sectional Post Binders",1,8.68,-14.76
Central,Illinois,Chicago,Binders,"SlimView Poly Binder, 3/8""",13,13.47,-22.9
Central,Illinois,Chicago,Binders,"Storex Dura Pro Binders",6,7.12,-12.48
Central,Illinois,Chicago,Binders,"Storex DuraTech Recycled Plastic Frosted Binders",7,5.94,-8.9
Central,Illinois,Chicago,Binders,"Tuff Stuff Recycled Round Ring Binders",2,1.93,-2.99
Central,Illinois,Chicago,Binders,"Vinyl Sectional Post Binders",2,15.08,-22.62
Central,Illinois,Chicago,Binders,"Wilson Jones 1" Hanging DublLock Ring Binders"",2,2.11,-3.38
Central,Illinois,Chicago,Binders,"Wilson Jones Easy Flow II Sheet Lifters",5,1.8,-2.88
Central,Illinois,Chicago,Binders,"Wilson Jones Standard D-Ring Binders",3,3.04,-5.01
Central,Illinois,Chicago,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",3,8.81,-14.97
Central,Illinois,Chicago,Binders,NULL,182,1279.3600000000001,-841.0099999999999
Central,Illinois,Chicago,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",9,825.17,-117.88
Central,Illinois,Chicago,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",5,493.43,-70.49
Central,Illinois,Chicago,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",2,141.37,-14.14
Central,Illinois,Chicago,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",2,183.37,-36.67
Central,Illinois,Chicago,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",4,198.74,0
Central,Illinois,Chicago,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",3,359.06,-71.81
Central,Illinois,Chicago,Bookcases,NULL,25,2201.14,-310.99
Central,Illinois,Chicago,Chairs,"DMI Arturo Collection Mission-style Design Wood Chair",3,317.06,-18.12
Central,Illinois,Chicago,Chairs,"Global Airflow Leather Mesh Back Chair, Black",5,528.43,0
Central,Illinois,Chicago,Chairs,"Global Chrome Stack Chair",2,47.99,-2.06
Central,Illinois,Chicago,Chairs,"Global Commerce Series High-Back Swivel/Tilt Chairs",4,797.94,-57
Central,Illinois,Chicago,Chairs,"Global Commerce Series Low-Back Swivel/Tilt Chairs",2,359.77,-5.14
Central,Illinois,Chicago,Chairs,"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs",3,569.06,-178.85
Central,Illinois,Chicago,Chairs,"Global Highback Leather Tilter in Burgundy",2,127.39,-25.48
Central,Illinois,Chicago,Chairs,"Global Leather and Oak Executive Chair, Black",2,421.37,-6.02
Central,Illinois,Chicago,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",6,844.12,-36.18
Central,Illinois,Chicago,Chairs,"Global Push Button Manager's Chair, Indigo",9,383.61,-5.48
Central,Illinois,Chicago,Chairs,"Global Stack Chair with Arms, Black",3,62.96,-2.7
Central,Illinois,Chicago,Chairs,"Global Super Steno Chair",7,470.3,-87.34
Central,Illinois,Chicago,Chairs,"Global Value Mid-Back Manager's Chair, Gray",8,319.99,-44.230000000000004
Central,Illinois,Chicago,Chairs,"Global Value Steno Chair, Gray",4,170.07,-12.15
Central,Illinois,Chicago,Chairs,"GuestStacker Chair with Chrome Finish Legs",2,520.46,-14.87
Central,Illinois,Chicago,Chairs,"High-Back Leather Manager's Chair",2,181.99,-54.6
Central,Illinois,Chicago,Chairs,"Hon Every-Day Series Multi-Task Chairs",4,526.34,-75.19
Central,Illinois,Chicago,Chairs,"SAFCO Folding Chair Trolley",1,89.77,-2.56
Central,Illinois,Chicago,Chairs,NULL,69,6738.62,-627.97
Central,Illinois,Chicago,Copiers,"Brother DCP1000 Digital 3 in 1 Multifunction Machine",3,719.98,135
Central,Illinois,Chicago,Copiers,"Canon Imageclass D680 Copier / Fax",5,2,874.99
Central,Illinois,Chicago,Copiers,"Hewlett Packard LaserJet 3310 Copier",2,959.98,335.99
Central,Illinois,Chicago,Copiers,NULL,10,1681.96,1345.98
Central,Illinois,Chicago,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",3,9.91,3.22
Central,Illinois,Chicago,Envelopes,"#10- 4 1/8" x 9 1/2"" Recycled Envelopes"",2,13.98,4.72
Central,Illinois,Chicago,Envelopes,"Grip Seal Envelopes",2,7.07,2.39
Central,Illinois,Chicago,Envelopes,"Peel & Seel Recycled Catalog Envelopes, Brown",6,55.58,20.84
Central,Illinois,Chicago,Envelopes,"Staple envelope",1,7.82,2.93
Central,Illinois,Chicago,Envelopes,NULL,14,94.35999999999999,34.1
Central,Illinois,Chicago,Fasteners,"Acco Hot Clips Clips to Go",7,18.43,5.76
Central,Illinois,Chicago,Fasteners,"Advantus Plastic Paper Clips",8,32,11.2
Central,Illinois,Chicago,Fasteners,"Advantus Push Pins",4,6.98,1.83
Central,Illinois,Chicago,Fasteners,"Assorted Color Push Pins",2,2.9,0.47
Central,Illinois,Chicago,Fasteners,"Binder Clips by OIC",6,7.1,2.49
Central,Illinois,Chicago,Fasteners,Staples,5,15.12,4.91
Central,Illinois,Chicago,Fasteners,NULL,32,82.53,26.66
Central,Illinois,Chicago,Furnishings,"12-1/2 Diameter Round Wall Clock",3,23.98,-14.39
Central,Illinois,Chicago,Furnishings,"36X48 HARDFLOOR CHAIRMAT",3,25.18,-33.36
Central,Illinois,Chicago,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",1,1.89,-0.99
Central,Illinois,Chicago,Furnishings,"Contemporary Wood/Metal Frame",1,6.46,-4.04
Central,Illinois,Chicago,Furnishings,"Contract Clock, 14"",1,8.79,-5.71
Central,Illinois,Chicago,Furnishings,"Dana Swing-Arm Lamps",2,8.54,-7.48
Central,Illinois,Chicago,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",6,22.75,-8.53
Central,Illinois,Chicago,Furnishings,"DAX Cubicle Frames - 8x10",7,16.16,-12.12
Central,Illinois,Chicago,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",3,24.29,-12.75
Central,Illinois,Chicago,Furnishings,"DAX Wood Document Frame",2,10.98,-7.96
Central,Illinois,Chicago,Furnishings,"Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting",2,84.27,-75.84
Central,Illinois,Chicago,Furnishings,"Eldon 100 Class Desk Accessories",12,16.17,-11.32
Central,Illinois,Chicago,Furnishings,"Eldon Cleatmat Chair Mats for Medium Pile Carpets",3,66.6,-78.26
Central,Illinois,Chicago,Furnishings,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",5,159.04,-194.82
Central,Illinois,Chicago,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",3,8.86,-6.86
Central,Illinois,Chicago,Furnishings,"Eldon Im角ge Series Desk Accessories, Clear",9,17.5,-7.44
Central,Illinois,Chicago,Furnishings,"Eldon Wave Desk Accessories",2,4.71,-1.88
Central,Illinois,Chicago,Furnishings,"Electrix Incandescent Magnifying Lamp, Black",2,29.32,-24.19
Central,Illinois,Chicago,Furnishings,"Flat Face Poster Frame",6,45.22,-20.34
Central,Illinois,Chicago,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",1,7.76,-2.13
Central,Illinois,Chicago,Furnishings,"G.E. Halogen Desk Lamp Bulbs",2,5.58,-1.68
Central,Illinois,Chicago,Furnishings,"Howard Miller 11-1/2" Diameter Brentwood Wall Clock"",2,34.5,-15.53
Central,Illinois,Chicago,Furnishings,"Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock",3,94.43,-42.49
Central,Illinois,Chicago,Furnishings,"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",5,419.68,-356.73
Central,Illinois,Chicago,Furnishings,"Master Caster Door Stop, Gray",1,2.03,-1.32
Central,Illinois,Chicago,Furnishings,"Master Caster Door Stop, Large Neon Orange",5,14.56,-6.19
Central,Illinois,Chicago,Furnishings,"Nu-Dell Float Frame 11 x 14 1/2",3,10.78,-4.85
Central,Illinois,Chicago,Furnishings,"Seth Thomas 13 1/2" Wall Clock"",2,14.22,-10.31
Central,Illinois,Chicago,Furnishings,"Seth Thomas 16" Steel Case Clock"",5,64.96,-43.85
Central,Illinois,Chicago,Furnishings,"Staple-based wall hangings",3,11.69,-4.68
Central,Illinois,Chicago,Furnishings,"Tenex Chairmats For Use with Hard Floors",3,38.98,-50.67
Central,Illinois,Chicago,Furnishings,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36" x 48"""",2,51.56,-61.87
Central,Illinois,Chicago,Furnishings,NULL,110,1351.44,-1130.58
Central,Illinois,Chicago,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1,24.42,7.94
Central,Illinois,Chicago,Labels,"Avery 483",3,11.95,3.88
Central,Illinois,Chicago,Labels,"Avery 498",4,9.25,3.12
Central,Illinois,Chicago,Labels,"Avery 501",2,5.9,1.99
Central,Illinois,Chicago,Labels,"Avery 51",4,20.16,6.55
Central,Illinois,Chicago,Labels,"Avery File Folder Labels",10,23.04,8.36
Central,Illinois,Chicago,Labels,"Self-Adhesive Address Labels for Typewriters by Universal",5,29.24,9.87
Central,Illinois,Chicago,Labels,"Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set",2,6,2.1
Central,Illinois,Chicago,Labels,NULL,31,129.95999999999998,43.81
Central,Illinois,Chicago,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",3,1,43.2
Central,Illinois,Chicago,Machines,"Hewlett-Packard Deskjet 6540 Color Inkjet Printer",2,574.91,156.05
Central,Illinois,Chicago,Machines,"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax",2,209.99,9
Central,Illinois,Chicago,Machines,"Okidata C610n Printer",3,1,-19.47
Central,Illinois,Chicago,Machines,NULL,10,786.9,188.78
