City,Country/Region,State,Postal Code,Region
Henderson,United States,Nevada,89015,West
Hendersonville,United States,Tennessee,37075,South
Hesperia,United States,California,92345,West
Hialeah,United States,Florida,33012,South
Hickory,United States,North Carolina,28601,South
Highland Park,United States,Illinois,60035,Central
Hillsboro,United States,Oregon,97123,West
Holland,United States,Michigan,49423,Central
Hollywood,United States,Florida,33021,South
Holyoke,United States,Massachusetts,01040,East
Homestead,United States,Florida,33030,South
Hoover,United States,Alabama,35244,South
Hot Springs,United States,Arkansas,71901,South
Houston,United States,Texas,77095,Central
Houston,United States,Texas,77041,Central
Houston,United States,Texas,77070,Central
Houston,United States,Texas,77036,Central
Huntington Beach,United States,California,92646,West
Huntsville,United States,Texas,77340,Central
Huntsville,United States,Alabama,35810,South
Independence,United States,Missouri,64055,Central
Indianapolis,United States,Indiana,46203,Central
Inglewood,United States,California,90301,West
Iowa City,United States,Iowa,52240,Central
Irving,United States,Texas,75061,Central
Jackson,United States,Michigan,49201,Central
Jackson,United States,Mississippi,39212,South
Jackson,United States,Tennessee,38301,South
Jacksonville,United States,Florida,32216,South
Jacksonville,United States,North Carolina,28540,South
Jamestown,United States,New York,14701,East
Jefferson City,United States,Missouri,65109,Central
Johnson City,United States,Tennessee,37604,South
Jonesboro,United States,Arkansas,72401,South
Jupiter,United States,Florida,33458,South
Keller,United States,Texas,76248,Central
Kenner,United States,Louisiana,70065,South
Kenosha,United States,Wisconsin,53142,Central
Kent,United States,Washington,98031,West
Kent,United States,Ohio,44240,East
Kirkwood,United States,Missouri,63122,Central
Kissimmee,United States,Florida,34741,South
Knoxville,United States,Tennessee,37918,South
La Crosse,United States,Wisconsin,54601,Central
La Mesa,United States,California,91941,West
La Porte,United States,Indiana,46350,Central
La Porte,United States,Texas,77571,Central
La Quinta,United States,California,92253,West
Lafayette,United States,Louisiana,70506,South
Lafayette,United States,Indiana,47905,Central
Laguna Niguel,United States,California,92677,West
Lake Charles,United States,Louisiana,70601,South
Lake Elsinore,United States,California,92530,West
Lake Forest,United States,California,92630,West
Lakeland,United States,Florida,33801,South
Lakeville,United States,Minnesota,55044,Central
Lakewood,United States,New Jersey,08701,East
Lakewood,United States,Ohio,44107,East
Lakewood,United States,California,90712,West
Lancaster,United States,California,93534,West
Lancaster,United States,Pennsylvania,17602,East
Lancaster,United States,Ohio,43130,East
Lansing,United States,Michigan,48911,Central
Laredo,United States,Texas,78041,Central
Las Cruces,United States,New Mexico,88001,West
Las Vegas,United States,Nevada,89115,West
Laurel,United States,Maryland,20707,East
Lawrence,United States,Massachusetts,01841,East
Lawrence,United States,Indiana,46226,Central
Lawton,United States,Oklahoma,73505,Central
Layton,United States,Utah,84041,West
League City,United States,Texas,77573,Central
Lebanon,United States,Tennessee,37087,South
Lehi,United States,Utah,84043,West
Leominster,United States,Massachusetts,01453,East
Lewiston,United States,Idaho,83501,West
Lewiston,United States,Maine,04240,East
Lincoln Park,United States,Michigan,48146,Central
Linden,United States,New Jersey,07036,East
Lindenhurst,United States,New York,11757,East
Little Rock,United States,Arkansas,72209,South
Littleton,United States,Colorado,80122,West
Lodi,United States,California,95240,West
Logan,United States,Utah,84321,West
Long Beach,United States,California,90805,West
Long Beach,United States,New York,11561,East
Longmont,United States,Colorado,80501,West
Longview,United States,Washington,98632,West
Lorain,United States,Ohio,44052,East
Los Angeles,United States,California,90036,West
Los Angeles,United States,California,90032,West
Los Angeles,United States,California,90049,West
Los Angeles,United States,California,90004,West
Los Angeles,United States,California,90045,West
Los Angeles,United States,California,90008,West
Louisville,United States,Colorado,80027,West
Louisville,United States,Kentucky,40214,South
Loveland,United States,Colorado,80538,West
Lowell,United States,Massachusetts,01852,East
Lubbock,United States,Texas,79424,Central
Macon,United States,Georgia,31204,South
Madison,United States,Wisconsin,53711,Central
Malden,United States,Massachusetts,02148,East
Manchester,United States,Connecticut,06040,East
Manhattan,United States,Kansas,66502,Central
Mansfield,United States,Texas,76063,Central
Manteca,United States,California,95336,West
Maple Grove,United States,Minnesota,55369,Central
Margate,United States,Florida,33063,South
Marietta,United States,Georgia,30062,South
Marion,United States,Ohio,43302,East
Marion,United States,Iowa,52302,Central
Marlborough,United States,Massachusetts,01752,East
Marysville,United States,Washington,98270,West
Mason,United States,Ohio,45040,East
Mcallen,United States,Texas,78501,Central
Medford,United States,Oregon,97504,West
Medina,United States,Ohio,44256,East
Melbourne,United States,Florida,32935,South
Memphis,United States,Tennessee,38109,South
Mentor,United States,Ohio,44060,East
Meriden,United States,Connecticut,06450,East
Meridian,United States,Idaho,83642,West
Mesa,United States,Arizona,85204,West
Mesquite,United States,Texas,75150,Central
Miami,United States,Florida,33180,South
Miami,United States,Florida,33142,South
Miami,United States,Florida,33178,South
Middletown,United States,Connecticut,06457,East
Midland,United States,Michigan,48640,Central
Milford,United States,Connecticut,06460,East
Milwaukee,United States,Wisconsin,53209,Central
Minneapolis,United States,Minnesota,55407,Central
Miramar,United States,Florida,33023,South
Mishawaka,United States,Indiana,46544,Central
Mission Viejo,United States,California,92691,West
Missoula,United States,Montana,59801,West
Missouri City,United States,Texas,77489,Central
Mobile,United States,Alabama,36608,South
Modesto,United States,California,95351,West
Monroe,United States,Louisiana,71203,South
Monroe,United States,North Carolina,28110,South
Montebello,United States,California,90640,West
Montgomery,United States,Alabama,36116,South
Moorhead,United States,Minnesota,56560,Central
Moreno Valley,United States,California,92553,West
Morgan Hill,United States,California,95037,West
Morristown,United States,New Jersey,07960,East
Mount Pleasant,United States,South Carolina,29464,South
Mount Pleasant,United States,Michigan,48858,Central
Mount Vernon,United States,New York,10550,East
Murfreesboro,United States,Tennessee,37130,South
Murray,United States,Kentucky,42071,South
Murray,United States,Utah,84107,West
Murrieta,United States,California,92563,West
Muskogee,United States,Oklahoma,74403,Central
Naperville,United States,Illinois,60540,Central
Nashua,United States,New Hampshire,03060,East
Nashville,United States,Tennessee,37211,South
New Albany,United States,Indiana,47150,Central
New Bedford,United States,Massachusetts,02740,East
New Brunswick,United States,New Jersey,08901,East
New Castle,United States,Indiana,47362,Central
New Rochelle,United States,New York,10801,East
New York City,United States,New York,10024,East
New York City,United States,New York,10009,East
New York City,United States,New York,10035,East
New York City,United States,New York,10011,East
Newark,United States,Ohio,43055,East
Newark,United States,Delaware,19711,East
Newport News,United States,Virginia,23602,South
Niagara Falls,United States,New York,14304,East
Noblesville,United States,Indiana,46060,Central
Norfolk,United States,Nebraska,68701,Central
Normal,United States,Illinois,61761,Central
Norman,United States,Oklahoma,73071,Central
North Charleston,United States,South Carolina,29406,South
North Las Vegas,United States,Nevada,89031,West
North Miami,United States,Florida,33161,South
Norwich,United States,Connecticut,06360,East
Oak Park,United States,Illinois,60302,Central
Oak Park,United States,Michigan,48237,Central
Oakland,United States,California,94601,West
Oceanside,United States,New York,11572,East
Oceanside,United States,California,92054,West
Odessa,United States,Texas,79762,Central
Oklahoma City,United States,Oklahoma,73120,Central
Olathe,United States,Kansas,66062,Central
Olympia,United States,Washington,98502,West
Omaha,United States,Nebraska,68104,Central
Ontario,United States,California,91761,West
Orange,United States,New Jersey,07050,East
Orem,United States,Utah,84057,West
Orland Park,United States,Illinois,60462,Central
Orlando,United States,Florida,32839,South
Ormond Beach,United States,Florida,32174,South
Oswego,United States,Illinois,60543,Central
Overland Park,United States,Kansas,66212,Central
Owensboro,United States,Kentucky,42301,South
Oxnard,United States,California,93030,West
Palatine,United States,Illinois,60067,Central
Palm Coast,United States,Florida,32137,South
Park Ridge,United States,Illinois,60068,Central
Parker,United States,Colorado,80134,West
Parma,United States,Ohio,44134,East
Pasadena,United States,California,91104,West
Pasadena,United States,Texas,77506,Central
Pasco,United States,Washington,99301,West
Passaic,United States,New Jersey,07055,East
Paterson,United States,New Jersey,07501,East
Pearland,United States,Texas,77581,Central
Pembroke Pines,United States,Florida,33024,South
Pensacola,United States,Florida,32503,South
Peoria,United States,Illinois,61604,Central
Peoria,United States,Arizona,85345,West
Perth Amboy,United States,New Jersey,08861,East
Pharr,United States,Texas,78577,Central
Philadelphia,United States,Pennsylvania,19140,East
Philadelphia,United States,Pennsylvania,19134,East
Philadelphia,United States,Pennsylvania,19120,East
Philadelphia,United States,Pennsylvania,19143,East
Phoenix,United States,Arizona,85023,West
Pico Rivera,United States,California,90660,West
Pine Bluff,United States,Arkansas,71603,South
Plainfield,United States,New Jersey,07060,East
Plano,United States,Texas,75023,Central
Plantation,United States,Florida,33317,South
Pleasant Grove,United States,Utah,84062,West
Pocatello,United States,Idaho,83201,West
Pomona,United States,California,91767,West
Pompano Beach,United States,Florida,33068,South
Port Arthur,United States,Texas,77642,Central
Port Orange,United States,Florida,32127,South
Port Saint Lucie,United States,Florida,34952,South
Portage,United States,Indiana,46368,Central
Portland,United States,Oregon,97206,West
Providence,United States,Rhode Island,02908,East
Provo,United States,Utah,84604,West
Pueblo,United States,Colorado,81001,West
Quincy,United States,Illinois,62301,Central
Quincy,United States,Massachusetts,02169,East
Raleigh,United States,North Carolina,27604,South
Rancho Cucamonga,United States,California,91730,West
Rapid City,United States,South Dakota,57701,Central
Reading,United States,Pennsylvania,19601,East
Redding,United States,California,96003,West
Redlands,United States,California,92374,West
Redmond,United States,Oregon,97756,West
Redmond,United States,Washington,98052,West
Redondo Beach,United States,California,90278,West
Redwood City,United States,California,94061,West
Reno,United States,Nevada,89502,West
Renton,United States,Washington,98059,West
Revere,United States,Massachusetts,02151,East
Richardson,United States,Texas,75080,Central
Richmond,United States,Kentucky,40475,South
Richmond,United States,Virginia,23223,South
Richmond,United States,Indiana,47374,Central
Rio Rancho,United States,New Mexico,87124,West
Riverside,United States,California,92503,West
Rochester,United States,Minnesota,55901,Central
Rochester,United States,New York,14609,East
Rochester Hills,United States,Michigan,48307,Central
Rock Hill,United States,South Carolina,29730,South
Rockford,United States,Illinois,61107,Central
Rockville,United States,Maryland,20852,East
Rogers,United States,Arkansas,72756,South
Rome,United States,New York,13440,East
Romeoville,United States,Illinois,60441,Central
Roseville,United States,California,95661,West
Roseville,United States,Michigan,48066,Central
Roseville,United States,Minnesota,55113,Central
Roswell,United States,Georgia,30076,South
Round Rock,United States,Texas,78664,Central
Royal Oak,United States,Michigan,48073,Central
Sacramento,United States,California,95823,West
Saginaw,United States,Michigan,48601,Central
Saint Charles,United States,Missouri,63301,Central
Saint Charles,United States,Illinois,60174,Central
Saint Cloud,United States,Minnesota,56301,Central
Saint Louis,United States,Missouri,63116,Central
Saint Paul,United States,Minnesota,55106,Central
Saint Peters,United States,Missouri,63376,Central
Saint Petersburg,United States,Florida,33710,South
Salem,United States,Oregon,97301,West
Salem,United States,Virginia,24153,South
Salinas,United States,California,93905,West
Salt Lake City,United States,Utah,84106,West
San Angelo,United States,Texas,76903,Central
San Antonio,United States,Texas,78207,Central
San Bernardino,United States,California,92404,West
San Clemente,United States,California,92672,West
San Diego,United States,California,92037,West
San Diego,United States,California,92024,West
San Diego,United States,California,92105,West
San Francisco,United States,California,94109,West
San Francisco,United States,California,94122,West
San Francisco,United States,California,94110,West
San Gabriel,United States,California,91776,West
San Jose,United States,California,95123,West
San Luis Obispo,United States,California,93405,West
San Marcos,United States,Texas,78666,Central
San Mateo,United States,California,94403,West
Sandy Springs,United States,Georgia,30328,South
Sanford,United States,Florida,32771,South
Santa Ana,United States,California,92704,West
Santa Barbara,United States,California,93101,West
Santa Clara,United States,California,95051,West
Santa Fe,United States,New Mexico,87505,West
Santa Maria,United States,California,93454,West
Scottsdale,United States,Arizona,85254,West
Seattle,United States,Washington,98103,West
Seattle,United States,Washington,98105,West
Seattle,United States,Washington,98115,West
Sheboygan,United States,Wisconsin,53081,Central
Shelton,United States,Connecticut,06484,East
Sierra Vista,United States,Arizona,85635,West
Sioux Falls,United States,South Dakota,57103,Central
Skokie,United States,Illinois,60076,Central
Smyrna,United States,Georgia,30080,South
Smyrna,United States,Tennessee,37167,South
South Bend,United States,Indiana,46614,Central
Southaven,United States,Mississippi,38671,South
Sparks,United States,Nevada,89431,West
Spokane,United States,Washington,99207,West
Springdale,United States,Arkansas,72762,South
Springfield,United States,Virginia,22153,South
Springfield,United States,Ohio,45503,East
Springfield,United States,Oregon,97477,West
Springfield,United States,Missouri,65807,Central
Sterling Heights,United States,Michigan,48310,Central
Stockton,United States,California,95207,West
Suffolk,United States,Virginia,23434,South
Summerville,United States,South Carolina,29483,South
Sunnyvale,United States,California,94086,West
Superior,United States,Wisconsin,54880,Central
Tallahassee,United States,Florida,32303,South
Tamarac,United States,Florida,33319,South
Tampa,United States,Florida,33614,South
Taylor,United States,Michigan,48180,Central
Temecula,United States,California,92592,West
Tempe,United States,Arizona,85281,West
Texarkana,United States,Arkansas,71854,South
Texas City,United States,Texas,77590,Central
The Colony,United States,Texas,75056,Central
Thomasville,United States,North Carolina,27360,South
Thornton,United States,Colorado,80229,West
Thousand Oaks,United States,California,91360,West
Tigard,United States,Oregon,97224,West
Tinley Park,United States,Illinois,60477,Central
Toledo,United States,Ohio,43615,East
Torrance,United States,California,90503,West
Trenton,United States,Michigan,48183,Central
Troy,United States,New York,12180,East
Troy,United States,Ohio,45373,East
Tucson,United States,Arizona,85705,West
Tulsa,United States,Oklahoma,74133,Central
Tuscaloosa,United States,Alabama,35401,South
Twin Falls,United States,Idaho,83301,West
Tyler,United States,Texas,75701,Central
Urbandale,United States,Iowa,50322,Central
Utica,United States,New York,13501,East
Vacaville,United States,California,95687,West
Vallejo,United States,California,94591,West
Vancouver,United States,Washington,98661,West
Vineland,United States,New Jersey,08360,East
Virginia Beach,United States,Virginia,23464,South
Visalia,United States,California,93277,West
Waco,United States,Texas,76706,Central
Warner Robins,United States,Georgia,31088,South
Warwick,United States,Rhode Island,02886,East
Washington,United States,District of Columbia,20016,East
Waterbury,United States,Connecticut,06708,East
Waterloo,United States,Iowa,50701,Central
Watertown,United States,New York,13601,East
Waukesha,United States,Wisconsin,53186,Central
Wausau,United States,Wisconsin,54401,Central
Waynesboro,United States,Virginia,22980,South
West Allis,United States,Wisconsin,53214,Central
West Jordan,United States,Utah,84084,West
West Palm Beach,United States,Florida,33407,South
Westfield,United States,New Jersey,07090,East
Westland,United States,Michigan,48185,Central
Westminster,United States,California,92683,West
Wheeling,United States,Illinois,60090,Central
Wheeling,United States,West Virginia,26003,East
Whittier,United States,California,90604,West
Wichita,United States,Kansas,67212,Central
Wilmington,United States,Delaware,19805,East
Wilmington,United States,North Carolina,28403,South
Wilson,United States,North Carolina,27893,South
Woodbury,United States,Minnesota,55125,Central
Woodland,United States,California,95695,West
Woodstock,United States,Illinois,60098,Central
Woodstock,United States,Georgia,30188,South
Woonsocket,United States,Rhode Island,02895,East
Yonkers,United States,New York,10701,East
York,United States,Pennsylvania,17403,East
Yucaipa,United States,California,92399,West
Yuma,United States,Arizona,85364,West
