Postal Code,Country/Region,State,City,Region
28601,United States,North Carolina,Hickory,South
28806,United States,North Carolina,Asheville,South
29203,United States,South Carolina,Columbia,South
29406,United States,South Carolina,North Charleston,South
29464,United States,South Carolina,Mount Pleasant,South
29483,United States,South Carolina,Summerville,South
29501,United States,South Carolina,Florence,South
29730,United States,South Carolina,Rock Hill,South
30062,United States,Georgia,Marietta,South
30076,United States,Georgia,Roswell,South
30080,United States,Georgia,Smyrna,South
30188,United States,Georgia,Woodstock,South
30318,United States,Georgia,Atlanta,South
30328,United States,Georgia,Sandy Springs,South
30344,United States,Georgia,East Point,South
30605,United States,Georgia,Athens,South
31088,United States,Georgia,Warner Robins,South
31204,United States,Georgia,Macon,South
31907,United States,Georgia,Columbus,South
32114,United States,Florida,Daytona Beach,South
32127,United States,Florida,Port Orange,South
32137,United States,Florida,Palm Coast,South
32174,United States,Florida,Ormond Beach,South
32216,United States,Florida,Jacksonville,South
32303,United States,Florida,Tallahassee,South
32503,United States,Florida,Pensacola,South
32712,United States,Florida,Apopka,South
32725,United States,Florida,Deltona,South
32771,United States,Florida,Sanford,South
32839,United States,Florida,Orlando,South
32935,United States,Florida,Melbourne,South
33012,United States,Florida,Hialeah,South
33021,United States,Florida,Hollywood,South
33023,United States,Florida,Miramar,South
33024,United States,Florida,Pembroke Pines,South
33030,United States,Florida,Homestead,South
33063,United States,Florida,Margate,South
33065,United States,Florida,Coral Springs,South
33068,United States,Florida,Pompano Beach,South
33134,United States,Florida,Coral Gables,South
33142,United States,Florida,Miami,South
33161,United States,Florida,North Miami,South
33178,United States,Florida,Miami,South
33180,United States,Florida,Miami,South
33311,United States,Florida,Fort Lauderdale,South
33317,United States,Florida,Plantation,South
33319,United States,Florida,Tamarac,South
33407,United States,Florida,West Palm Beach,South
33433,United States,Florida,Boca Raton,South
33437,United States,Florida,Boynton Beach,South
33445,United States,Florida,Delray Beach,South
33458,United States,Florida,Jupiter,South
33614,United States,Florida,Tampa,South
33710,United States,Florida,Saint Petersburg,South
33801,United States,Florida,Lakeland,South
34741,United States,Florida,Kissimmee,South
34952,United States,Florida,Port Saint Lucie,South
35244,United States,Alabama,Hoover,South
35401,United States,Alabama,Tuscaloosa,South
35601,United States,Alabama,Decatur,South
35630,United States,Alabama,Florence,South
35810,United States,Alabama,Huntsville,South
36116,United States,Alabama,Montgomery,South
36608,United States,Alabama,Mobile,South
36830,United States,Alabama,Auburn,South
37042,United States,Tennessee,Clarksville,South
37064,United States,Tennessee,Franklin,South
37075,United States,Tennessee,Hendersonville,South
37087,United States,Tennessee,Lebanon,South
37130,United States,Tennessee,Murfreesboro,South
37167,United States,Tennessee,Smyrna,South
37211,United States,Tennessee,Nashville,South
37421,United States,Tennessee,Chattanooga,South
37604,United States,Tennessee,Johnson City,South
37620,United States,Tennessee,Bristol,South
37918,United States,Tennessee,Knoxville,South
38109,United States,Tennessee,Memphis,South
38134,United States,Tennessee,Bartlett,South
38301,United States,Tennessee,Jackson,South
38401,United States,Tennessee,Columbia,South
38671,United States,Mississippi,Southaven,South
39212,United States,Mississippi,Jackson,South
39401,United States,Mississippi,Hattiesburg,South
39503,United States,Mississippi,Gulfport,South
40214,United States,Kentucky,Louisville,South
40324,United States,Kentucky,Georgetown,South
40475,United States,Kentucky,Richmond,South
41042,United States,Kentucky,Florence,South
42071,United States,Kentucky,Murray,South
42104,United States,Kentucky,Bowling Green,South
42301,United States,Kentucky,Owensboro,South
42420,United States,Kentucky,Henderson,South
43017,United States,Ohio,Dublin,East
43055,United States,Ohio,Newark,East
43123,United States,Ohio,Grove City,East
43130,United States,Ohio,Lancaster,East
43229,United States,Ohio,Columbus,East
43302,United States,Ohio,Marion,East
43402,United States,Ohio,Bowling Green,East
43615,United States,Ohio,Toledo,East
44035,United States,Ohio,Elyria,East
44052,United States,Ohio,Lorain,East
44060,United States,Ohio,Mentor,East
44105,United States,Ohio,Cleveland,East
44107,United States,Ohio,Lakewood,East
44134,United States,Ohio,Parma,East
44221,United States,Ohio,Cuyahoga Falls,East
44240,United States,Ohio,Kent,East
44256,United States,Ohio,Medina,East
44312,United States,Ohio,Akron,East
45011,United States,Ohio,Hamilton,East
45014,United States,Ohio,Fairfield,East
45040,United States,Ohio,Mason,East
45231,United States,Ohio,Cincinnati,East
45373,United States,Ohio,Troy,East
45503,United States,Ohio,Springfield,East
46060,United States,Indiana,Noblesville,Central
46142,United States,Indiana,Greenwood,Central
46203,United States,Indiana,Indianapolis,Central
46226,United States,Indiana,Lawrence,Central
46350,United States,Indiana,La Porte,Central
46368,United States,Indiana,Portage,Central
46514,United States,Indiana,Elkhart,Central
46544,United States,Indiana,Mishawaka,Central
46614,United States,Indiana,South Bend,Central
47150,United States,Indiana,New Albany,Central
47201,United States,Indiana,Columbus,Central
47362,United States,Indiana,New Castle,Central
47374,United States,Indiana,Richmond,Central
47401,United States,Indiana,Bloomington,Central
47905,United States,Indiana,Lafayette,Central
48066,United States,Michigan,Roseville,Central
48073,United States,Michigan,Royal Oak,Central
48104,United States,Michigan,Ann Arbor,Central
48126,United States,Michigan,Dearborn,Central
48127,United States,Michigan,Dearborn Heights,Central
48146,United States,Michigan,Lincoln Park,Central
48180,United States,Michigan,Taylor,Central
48183,United States,Michigan,Trenton,Central
48185,United States,Michigan,Westland,Central
48187,United States,Michigan,Canton,Central
48205,United States,Michigan,Detroit,Central
48227,United States,Michigan,Detroit,Central
48234,United States,Michigan,Detroit,Central
48237,United States,Michigan,Oak Park,Central
48307,United States,Michigan,Rochester Hills,Central
48310,United States,Michigan,Sterling Heights,Central
48601,United States,Michigan,Saginaw,Central
48640,United States,Michigan,Midland,Central
48858,United States,Michigan,Mount Pleasant,Central
48911,United States,Michigan,Lansing,Central
49201,United States,Michigan,Jackson,Central
49423,United States,Michigan,Holland,Central
49505,United States,Michigan,Grand Rapids,Central
50315,United States,Iowa,Des Moines,Central
50322,United States,Iowa,Urbandale,Central
50701,United States,Iowa,Waterloo,Central
52001,United States,Iowa,Dubuque,Central
52240,United States,Iowa,Iowa City,Central
52302,United States,Iowa,Marion,Central
52402,United States,Iowa,Cedar Rapids,Central
52601,United States,Iowa,Burlington,Central
53081,United States,Wisconsin,Sheboygan,Central
53132,United States,Wisconsin,Franklin,Central
53142,United States,Wisconsin,Kenosha,Central
53186,United States,Wisconsin,Waukesha,Central
53209,United States,Wisconsin,Milwaukee,Central
53214,United States,Wisconsin,West Allis,Central
53711,United States,Wisconsin,Madison,Central
54302,United States,Wisconsin,Green Bay,Central
54401,United States,Wisconsin,Wausau,Central
54601,United States,Wisconsin,La Crosse,Central
54703,United States,Wisconsin,Eau Claire,Central
54880,United States,Wisconsin,Superior,Central
54915,United States,Wisconsin,Appleton,Central
55016,United States,Minnesota,Cottage Grove,Central
55044,United States,Minnesota,Lakeville,Central
55106,United States,Minnesota,Saint Paul,Central
55113,United States,Minnesota,Roseville,Central
55122,United States,Minnesota,Eagan,Central
55124,United States,Minnesota,Apple Valley,Central
55125,United States,Minnesota,Woodbury,Central
55369,United States,Minnesota,Maple Grove,Central
55407,United States,Minnesota,Minneapolis,Central
55433,United States,Minnesota,Coon Rapids,Central
55901,United States,Minnesota,Rochester,Central
56301,United States,Minnesota,Saint Cloud,Central
56560,United States,Minnesota,Moorhead,Central
57103,United States,South Dakota,Sioux Falls,Central
57401,United States,South Dakota,Aberdeen,Central
57701,United States,South Dakota,Rapid City,Central
58103,United States,North Dakota,Fargo,Central
59102,United States,Montana,Billings,West
59405,United States,Montana,Great Falls,West
59601,United States,Montana,Helena,West
59715,United States,Montana,Bozeman,West
59801,United States,Montana,Missoula,West
60004,United States,Illinois,Arlington Heights,Central
60016,United States,Illinois,Des Plaines,Central
60025,United States,Illinois,Glenview,Central
60035,United States,Illinois,Highland Park,Central
60067,United States,Illinois,Palatine,Central
60068,United States,Illinois,Park Ridge,Central
60076,United States,Illinois,Skokie,Central
60089,United States,Illinois,Buffalo Grove,Central
60090,United States,Illinois,Wheeling,Central
60098,United States,Illinois,Woodstock,Central
60126,United States,Illinois,Elmhurst,Central
60174,United States,Illinois,Saint Charles,Central
60188,United States,Illinois,Carol Stream,Central
60201,United States,Illinois,Evanston,Central
60302,United States,Illinois,Oak Park,Central
60423,United States,Illinois,Frankfort,Central
60440,United States,Illinois,Bolingbrook,Central
60441,United States,Illinois,Romeoville,Central
60462,United States,Illinois,Orland Park,Central
60477,United States,Illinois,Tinley Park,Central
60505,United States,Illinois,Aurora,Central
60540,United States,Illinois,Naperville,Central
60543,United States,Illinois,Oswego,Central
60610,United States,Illinois,Chicago,Central
60623,United States,Illinois,Chicago,Central
60653,United States,Illinois,Chicago,Central
61032,United States,Illinois,Freeport,Central
61107,United States,Illinois,Rockford,Central
61604,United States,Illinois,Peoria,Central
61701,United States,Illinois,Bloomington,Central
61761,United States,Illinois,Normal,Central
61821,United States,Illinois,Champaign,Central
61832,United States,Illinois,Danville,Central
62301,United States,Illinois,Quincy,Central
62521,United States,Illinois,Decatur,Central
63116,United States,Missouri,Saint Louis,Central
63122,United States,Missouri,Kirkwood,Central
63301,United States,Missouri,Saint Charles,Central
63376,United States,Missouri,Saint Peters,Central
64055,United States,Missouri,Independence,Central
64118,United States,Missouri,Gladstone,Central
65109,United States,Missouri,Jefferson City,Central
65203,United States,Missouri,Columbia,Central
65807,United States,Missouri,Springfield,Central
66062,United States,Kansas,Olathe,Central
66212,United States,Kansas,Overland Park,Central
66502,United States,Kansas,Manhattan,Central
67212,United States,Kansas,Wichita,Central
67846,United States,Kansas,Garden City,Central
68025,United States,Nebraska,Fremont,Central
68104,United States,Nebraska,Omaha,Central
68701,United States,Nebraska,Norfolk,Central
68801,United States,Nebraska,Grand Island,Central
70065,United States,Louisiana,Kenner,South
70506,United States,Louisiana,Lafayette,South
70601,United States,Louisiana,Lake Charles,South
71111,United States,Louisiana,Bossier City,South
71203,United States,Louisiana,Monroe,South
71603,United States,Arkansas,Pine Bluff,South
71854,United States,Arkansas,Texarkana,South
71901,United States,Arkansas,Hot Springs,South
72032,United States,Arkansas,Conway,South
72209,United States,Arkansas,Little Rock,South
72401,United States,Arkansas,Jonesboro,South
72701,United States,Arkansas,Fayetteville,South
72756,United States,Arkansas,Rogers,South
72762,United States,Arkansas,Springdale,South
73034,United States,Oklahoma,Edmond,Central
73071,United States,Oklahoma,Norman,Central
73120,United States,Oklahoma,Oklahoma City,Central
73505,United States,Oklahoma,Lawton,Central
74012,United States,Oklahoma,Broken Arrow,Central
74133,United States,Oklahoma,Tulsa,Central
74403,United States,Oklahoma,Muskogee,Central
75002,United States,Texas,Allen,Central
75007,United States,Texas,Carrollton,Central
75019,United States,Texas,Coppell,Central
75023,United States,Texas,Plano,Central
75034,United States,Texas,Frisco,Central
75043,United States,Texas,Garland,Central
75051,United States,Texas,Grand Prairie,Central
75056,United States,Texas,The Colony,Central
75061,United States,Texas,Irving,Central
75080,United States,Texas,Richardson,Central
75081,United States,Texas,Dallas,Central
75104,United States,Texas,Cedar Hill,Central
75150,United States,Texas,Mesquite,Central
75217,United States,Texas,Dallas,Central
75220,United States,Texas,Dallas,Central
75701,United States,Texas,Tyler,Central
76017,United States,Texas,Arlington,Central
76021,United States,Texas,Bedford,Central
76051,United States,Texas,Grapevine,Central
76063,United States,Texas,Mansfield,Central
76106,United States,Texas,Fort Worth,Central
76117,United States,Texas,Haltom City,Central
76248,United States,Texas,Keller,Central
76706,United States,Texas,Waco,Central
76903,United States,Texas,San Angelo,Central
77036,United States,Texas,Houston,Central
77041,United States,Texas,Houston,Central
77070,United States,Texas,Houston,Central
77095,United States,Texas,Houston,Central
77301,United States,Texas,Conroe,Central
77340,United States,Texas,Huntsville,Central
77489,United States,Texas,Missouri City,Central
77506,United States,Texas,Pasadena,Central
77520,United States,Texas,Baytown,Central
77536,United States,Texas,Deer Park,Central
77571,United States,Texas,La Porte,Central
77573,United States,Texas,League City,Central
77581,United States,Texas,Pearland,Central
77590,United States,Texas,Texas City,Central
77642,United States,Texas,Port Arthur,Central
77705,United States,Texas,Beaumont,Central
77803,United States,Texas,Bryan,Central
77840,United States,Texas,College Station,Central
78041,United States,Texas,Laredo,Central
78207,United States,Texas,San Antonio,Central
78415,United States,Texas,Corpus Christi,Central
78501,United States,Texas,Mcallen,Central
78521,United States,Texas,Brownsville,Central
78539,United States,Texas,Edinburg,Central
78550,United States,Texas,Harlingen,Central
78577,United States,Texas,Pharr,Central
78664,United States,Texas,Round Rock,Central
78666,United States,Texas,San Marcos,Central
78745,United States,Texas,Austin,Central
79109,United States,Texas,Amarillo,Central
79424,United States,Texas,Lubbock,Central
79605,United States,Texas,Abilene,Central
79762,United States,Texas,Odessa,Central
79907,United States,Texas,El Paso,Central
80004,United States,Colorado,Arvada,West
80013,United States,Colorado,Aurora,West
80020,United States,Colorado,Broomfield,West
80022,United States,Colorado,Commerce City,West
80027,United States,Colorado,Louisville,West
80112,United States,Colorado,Englewood,West
80122,United States,Colorado,Littleton,West
80134,United States,Colorado,Parker,West
80219,United States,Colorado,Denver,West
80229,United States,Colorado,Thornton,West
80501,United States,Colorado,Longmont,West
80525,United States,Colorado,Fort Collins,West
80538,United States,Colorado,Loveland,West
80634,United States,Colorado,Greeley,West
80906,United States,Colorado,Colorado Springs,West
81001,United States,Colorado,Pueblo,West
82001,United States,Wyoming,Cheyenne,West
83201,United States,Idaho,Pocatello,West
83301,United States,Idaho,Twin Falls,West
83501,United States,Idaho,Lewiston,West
83605,United States,Idaho,Caldwell,West
83642,United States,Idaho,Meridian,West
83704,United States,Idaho,Boise,West
84020,United States,Utah,Draper,West
84041,United States,Utah,Layton,West
84043,United States,Utah,Lehi,West
84057,United States,Utah,Orem,West
84062,United States,Utah,Pleasant Grove,West
84084,United States,Utah,West Jordan,West
84106,United States,Utah,Salt Lake City,West
84107,United States,Utah,Murray,West
84321,United States,Utah,Logan,West
84604,United States,Utah,Provo,West
85023,United States,Arizona,Phoenix,West
85204,United States,Arizona,Mesa,West
85224,United States,Arizona,Chandler,West
85234,United States,Arizona,Gilbert,West
85254,United States,Arizona,Scottsdale,West
85281,United States,Arizona,Tempe,West
85301,United States,Arizona,Glendale,West
85323,United States,Arizona,Avondale,West
85345,United States,Arizona,Peoria,West
85364,United States,Arizona,Yuma,West
85635,United States,Arizona,Sierra Vista,West
85705,United States,Arizona,Tucson,West
86442,United States,Arizona,Bullhead City,West
87105,United States,New Mexico,Albuquerque,West
87124,United States,New Mexico,Rio Rancho,West
87401,United States,New Mexico,Farmington,West
87505,United States,New Mexico,Santa Fe,West
88001,United States,New Mexico,Las Cruces,West
88101,United States,New Mexico,Clovis,West
88220,United States,New Mexico,Carlsbad,West
89015,United States,Nevada,Henderson,West
89031,United States,Nevada,North Las Vegas,West
89115,United States,Nevada,Las Vegas,West
89431,United States,Nevada,Sparks,West
89502,United States,Nevada,Reno,West
90004,United States,California,Los Angeles,West
90008,United States,California,Los Angeles,West
90032,United States,California,Los Angeles,West
90036,United States,California,Los Angeles,West
90045,United States,California,Los Angeles,West
90049,United States,California,Los Angeles,West
90278,United States,California,Redondo Beach,West
90301,United States,California,Inglewood,West
90503,United States,California,Torrance,West
90604,United States,California,Whittier,West
90640,United States,California,Montebello,West
90660,United States,California,Pico Rivera,West
90712,United States,California,Lakewood,West
90805,United States,California,Long Beach,West
91104,United States,California,Pasadena,West
91360,United States,California,Thousand Oaks,West
91505,United States,California,Burbank,West
91730,United States,California,Rancho Cucamonga,West
91761,United States,California,Ontario,West
91767,United States,California,Pomona,West
91776,United States,California,San Gabriel,West
91911,United States,California,Chula Vista,West
91941,United States,California,La Mesa,West
92020,United States,California,El Cajon,West
92024,United States,California,Encinitas,West
92025,United States,California,Escondido,West
92037,United States,California,San Diego,West
92054,United States,California,Oceanside,West
92101,United States,California,San Diego,West
92105,United States,California,San Diego,West
92236,United States,California,Coachella,West
92253,United States,California,La Quinta,West
92307,United States,California,Apple Valley,West
92345,United States,California,Hesperia,West
92374,United States,California,Redlands,West
92399,United States,California,Yucaipa,West
92404,United States,California,San Bernardino,West
92503,United States,California,Riverside,West
92530,United States,California,Lake Elsinore,West
92553,United States,California,Moreno Valley,West
92563,United States,California,Murrieta,West
92592,United States,California,Temecula,West
92627,United States,California,Costa Mesa,West
92630,United States,California,Lake Forest,West
92646,United States,California,Huntington Beach,West
92672,United States,California,San Clemente,West
92677,United States,California,Laguna Niguel,West
92683,United States,California,Westminster,West
92691,United States,California,Mission Viejo,West
92704,United States,California,Santa Ana,West
92804,United States,California,Anaheim,West
93010,United States,California,Camarillo,West
93030,United States,California,Oxnard,West
93101,United States,California,Santa Barbara,West
93277,United States,California,Visalia,West
93309,United States,California,Bakersfield,West
93405,United States,California,San Luis Obispo,West
93454,United States,California,Santa Maria,West
93534,United States,California,Lancaster,West
93727,United States,California,Fresno,West
93905,United States,California,Salinas,West
94061,United States,California,Redwood City,West
94086,United States,California,Sunnyvale,West
94109,United States,California,San Francisco,West
94110,United States,California,San Francisco,West
94122,United States,California,San Francisco,West
94403,United States,California,San Mateo,West
94509,United States,California,Antioch,West
94513,United States,California,Brentwood,West
94521,United States,California,Concord,West
94526,United States,California,Danville,West
94533,United States,California,Fairfield,West
94568,United States,California,Dublin,West
94591,United States,California,Vallejo,West
94601,United States,California,Oakland,West
95037,United States,California,Morgan Hill,West
95051,United States,California,Santa Clara,West
95123,United States,California,San Jose,West
95207,United States,California,Stockton,West
95240,United States,California,Lodi,West
95336,United States,California,Manteca,West
95351,United States,California,Modesto,West
95610,United States,California,Citrus Heights,West
95616,United States,California,Davis,West
95661,United States,California,Roseville,West
95687,United States,California,Vacaville,West
95695,United States,California,Woodland,West
95823,United States,California,Sacramento,West
95928,United States,California,Chico,West
96003,United States,California,Redding,West
97030,United States,Oregon,Gresham,West
97123,United States,Oregon,Hillsboro,West
97206,United States,Oregon,Portland,West
97224,United States,Oregon,Tigard,West
97301,United States,Oregon,Salem,West
97405,United States,Oregon,Eugene,West
97477,United States,Oregon,Springfield,West
97504,United States,Oregon,Medford,West
97756,United States,Oregon,Redmond,West
98002,United States,Washington,Auburn,West
98006,United States,Washington,Bellevue,West
98026,United States,Washington,Edmonds,West
98031,United States,Washington,Kent,West
98042,United States,Washington,Covington,West
98052,United States,Washington,Redmond,West
98059,United States,Washington,Renton,West
98103,United States,Washington,Seattle,West
98105,United States,Washington,Seattle,West
98115,United States,Washington,Seattle,West
98198,United States,Washington,Des Moines,West
98208,United States,Washington,Everett,West
98226,United States,Washington,Bellingham,West
98270,United States,Washington,Marysville,West
98502,United States,Washington,Olympia,West
98632,United States,Washington,Longview,West
98661,United States,Washington,Vancouver,West
99207,United States,Washington,Spokane,West
99301,United States,Washington,Pasco,West
