Order No,Sales($),Quantity,Discount,Profit($),Price($)
49,21.80 ,2,0,6.10 ,21.80 
50,38.22 ,6,0,17.96 ,38.22 
51,75.18 ,6,0,35.33 ,75.18 
52,6.16 ,2,0,2.96 ,6.16 
53,89.99 ,1,0,17.10 ,89.99 
54,15.26 ,7,0,6.26 ,15.26 
55,"1,029.95 ",5,0,298.69 ,"1,029.95 "
56,208.56 ,6,0,52.14 ,208.56 
57,32.40 ,5,0,15.55 ,32.40 
58,319.41 ,5,0.1,7.10 ,354.90 
59,14.56 ,2,0,6.99 ,14.56 
60,30.00 ,2,0,3.30 ,30.00 
61,48.48 ,4,0.2,16.36 ,60.60 
62,1.68 ,1,0,0.84 ,1.68 
63,13.98 ,2,0,6.15 ,13.98 
64,25.82 ,6,0.2,9.36 ,32.28 
65,146.73 ,3,0,68.96 ,146.73 
66,79.76 ,4,0,22.33 ,79.76 
67,213.12 ,5,0.3,-15.22 ,304.45 
68,"1,113.02 ",8,0.2,111.30 ,"1,391.28 "
69,167.97 ,4,0.2,62.99 ,209.96 
70,75.88 ,2,0,35.66 ,75.88 
71,4.62 ,1,0.2,1.73 ,5.77 
72,19.05 ,3,0,8.76 ,19.05 
73,831.94 ,8,0.2,-114.39 ,"1,039.92 "
74,97.04 ,2,0.2,1.21 ,121.30 
75,72.78 ,1,0.2,-18.20 ,90.98 
76,1.25 ,3,0.8,-1.93 ,6.24 
77,9.71 ,3,0.6,-5.82 ,24.27 
78,27.24 ,3,0.2,2.72 ,34.05 
79,19.30 ,5,0.6,-14.48 ,48.25 
80,208.16 ,1,0,56.20 ,208.16 
81,16.74 ,3,0,8.04 ,16.74 
82,14.90 ,5,0,4.17 ,14.90 
83,21.39 ,1,0,6.20 ,21.39 
84,200.98 ,7,0.2,62.81 ,251.23 
85,230.38 ,3,0.2,-48.95 ,287.97 
86,301.96 ,2,0,33.22 ,301.96 
87,19.99 ,1,0,6.80 ,19.99 
88,6.16 ,2,0,2.96 ,6.16 
89,158.37 ,7,0.2,13.86 ,197.96 
90,20.10 ,3,0,6.63 ,20.10 
91,73.58 ,2,0.2,8.28 ,91.98 
92,6.48 ,1,0,3.11 ,6.48 
93,12.96 ,2,0,6.22 ,12.96 
94,53.34 ,3,0,16.54 ,53.34 
95,32.96 ,2,0,16.15 ,32.96 
96,5.68 ,1,0.7,-3.79 ,18.94 
97,96.53 ,7,0,40.54 ,96.53 
98,51.31 ,3,0.2,17.96 ,64.14 
99,77.88 ,6,0,22.59 ,77.88 
100,64.62 ,7,0.2,22.62 ,80.78 
101,95.98 ,3,0.2,-10.80 ,119.97 
102,1.79 ,3,0.8,-3.04 ,8.94 
103,23.92 ,4,0,11.72 ,23.92 
104,238.90 ,6,0.2,-26.88 ,298.62 
105,102.36 ,3,0.2,-3.84 ,127.95 
106,36.88 ,3,0.7,-25.82 ,122.94 
107,74.11 ,8,0.2,17.60 ,92.64 
108,27.99 ,1,0.2,2.10 ,34.99 
109,3.30 ,1,0.2,1.07 ,4.13 
110,339.96 ,5,0.2,67.99 ,424.95 
111,41.96 ,2,0,10.91 ,41.96 
112,75.96 ,2,0,22.79 ,75.96 
113,27.24 ,6,0,13.35 ,27.24 
114,40.10 ,14,0.2,14.53 ,50.12 
115,4.72 ,2,0.2,1.65 ,5.90 
116,23.98 ,3,0.2,7.49 ,29.97 
117,130.46 ,6,0.2,44.03 ,163.08 
118,787.53 ,3,0,165.38 ,787.53 
119,157.79 ,1,0.7,-115.72 ,525.98 
120,47.04 ,3,0,18.35 ,47.04 
121,30.84 ,4,0,13.88 ,30.84 
122,226.56 ,6,0,63.44 ,226.56 
123,115.02 ,9,0,51.76 ,115.02 
124,68.04 ,7,0,19.73 ,68.04 
125,600.56 ,3,0.3,-8.58 ,857.94 
126,617.70 ,6,0.5,-407.68 ,"1,235.40 "
127,2.39 ,2,0.7,-1.83 ,7.96 
128,243.99 ,7,0.2,30.50 ,304.99 
129,81.42 ,2,0.2,-9.16 ,101.78 
130,238.56 ,3,0,26.24 ,238.56 
131,59.97 ,5,0.4,-11.99 ,99.95 
132,78.30 ,2,0.2,29.36 ,97.88 
133,21.46 ,9,0.2,6.97 ,26.82 
134,20.04 ,3,0,9.62 ,20.04 
135,35.44 ,1,0,16.66 ,35.44 
136,11.52 ,4,0,3.46 ,11.52 
137,4.02 ,2,0,1.97 ,4.02 
138,76.18 ,3,0.2,26.66 ,95.22 
139,65.88 ,6,0,18.45 ,65.88 
140,43.12 ,14,0,20.70 ,43.12 
141,82.80 ,2,0.2,10.35 ,103.50 
142,8.82 ,3,0,2.38 ,8.82 
143,10.86 ,3,0,5.10 ,10.86 
144,143.70 ,3,0,68.98 ,143.70 
145,839.43 ,3,0,218.25 ,839.43 
146,671.93 ,7,0,20.16 ,671.93 
147,93.89 ,4,0.2,12.91 ,117.36 
148,384.45 ,11,0,103.80 ,384.45 
149,149.97 ,3,0,6.00 ,149.97 
150,"1,951.84 ",8,0,585.55 ,"1,951.84 "
151,171.55 ,5,0,80.63 ,171.55 
152,157.92 ,5,0.2,17.77 ,197.40 
153,203.18 ,2,0.2,15.24 ,253.98 
154,58.38 ,7,0,26.27 ,58.38 
155,105.52 ,4,0,48.54 ,105.52 
156,80.88 ,6,0,21.03 ,80.88 
157,6.63 ,3,0,1.79 ,6.63 
158,457.57 ,2,0.2,51.48 ,571.96 
159,14.62 ,2,0,6.87 ,14.62 
160,944.93 ,7,0,236.23 ,944.93 
161,5.98 ,1,0,2.69 ,5.98 
162,54.38 ,2,0.2,1.36 ,67.98 
163,28.40 ,5,0,13.35 ,28.40 
164,27.68 ,2,0.2,9.69 ,34.60 
165,9.94 ,3,0.2,2.73 ,12.42 
166,"8,159.95 ",8,0.4,"-1,359.99 ","13,599.92 "
167,275.93 ,3,0.2,-58.63 ,344.91 
168,"1,740.06 ",9,0.3,-24.86 ,"2,485.80 "
169,32.06 ,6,0.2,6.81 ,40.08 
170,177.98 ,5,0.8,-453.85 ,889.90 
171,143.98 ,3,0.2,9.00 ,179.97 
172,20.94 ,3,0,9.84 ,20.94 
173,110.96 ,2,0,53.26 ,110.96 
174,340.14 ,7,0.2,21.26 ,425.18 
175,52.45 ,2,0.8,-131.12 ,262.24 
176,20.16 ,4,0.2,6.55 ,25.20 
177,97.26 ,4,0.8,-243.16 ,486.32 
178,396.80 ,7,0.3,-11.34 ,566.86 
179,15.88 ,5,0.2,-3.77 ,19.85 
180,3.28 ,1,0,1.41 ,3.28 
181,24.82 ,2,0.2,1.86 ,31.02 
182,408.74 ,7,0.2,76.64 ,510.93 
183,503.96 ,4,0,131.03 ,503.96 
184,149.95 ,5,0,41.99 ,149.95 
185,29.00 ,2,0,7.25 ,29.00 
186,7.16 ,2,0,3.44 ,7.16 
187,176.80 ,8,0,22.98 ,176.80 
188,37.22 ,3,0.2,3.72 ,46.53 
189,20.02 ,3,0.2,6.26 ,25.02 
190,899.14 ,4,0.2,112.39 ,"1,123.92 "
191,71.76 ,6,0,20.09 ,71.76 
192,51.84 ,8,0,24.88 ,51.84 
193,626.35 ,3,0.2,46.98 ,782.94 
194,19.90 ,5,0,6.57 ,19.90 
195,14.28 ,7,0,6.71 ,14.28 
196,7.41 ,2,0.2,1.20 ,9.26 
197,6.05 ,3,0.2,1.59 ,7.56 
198,46.26 ,3,0,12.03 ,46.26 
199,2.95 ,2,0.7,-2.26 ,9.82 
200,16.06 ,3,0.2,5.82 ,20.07 
201,21.74 ,3,0.2,6.80 ,27.18 
202,218.75 ,2,0.5,-161.88 ,437.50 
203,2.60 ,1,0.2,0.29 ,3.25 
204,66.28 ,2,0.8,-178.97 ,331.42 
205,35.17 ,7,0.2,9.67 ,43.96 
206,444.77 ,4,0.2,44.48 ,555.96 
207,83.92 ,4,0,5.87 ,83.92 
208,131.98 ,2,0,35.63 ,131.98 
209,15.92 ,4,0,7.48 ,15.92 
210,52.29 ,9,0,16.21 ,52.29 
211,91.99 ,1,0,3.68 ,91.99 
212,20.80 ,2,0.2,6.50 ,26.00 
213,23.68 ,2,0.2,8.88 ,29.60 
214,452.45 ,5,0.5,-244.32 ,904.90 
215,62.98 ,3,0.4,-14.70 ,104.97 
216,"1,188.00 ",9,0.7,-950.40 ,"3,960.00 "
217,89.58 ,2,0.2,4.48 ,111.98 
218,93.06 ,6,0,26.06 ,93.06 
219,302.38 ,3,0.2,22.68 ,377.97 
220,5.58 ,2,0.2,1.81 ,6.98 
221,22.70 ,6,0.2,8.23 ,28.38 
222,19.78 ,4,0.7,-13.84 ,65.92 
223,72.70 ,4,0.2,19.08 ,90.88 
224,479.99 ,4,0.7,-383.99 ,"1,599.96 "
225,27.17 ,2,0.2,2.72 ,33.96 
226,2.20 ,1,0,0.97 ,2.20 
227,622.45 ,5,0,136.94 ,622.45 
228,21.98 ,1,0,0.22 ,21.98 
229,161.57 ,2,0.2,-28.27 ,201.96 
230,389.70 ,8,0.2,43.84 ,487.12 
231,18.65 ,7,0.7,-12.43 ,62.16 
232,233.86 ,2,0.45,-102.05 ,425.20 
233,620.61 ,3,0.45,-248.25 ,"1,128.39 "
234,5.33 ,2,0.7,-3.55 ,17.76 
235,258.07 ,3,0.2,0.00 ,322.59 
236,617.98 ,3,0.2,-7.72 ,772.47 
237,10.56 ,2,0,4.75 ,10.56 
238,25.92 ,5,0.2,9.40 ,32.40 
239,419.68 ,5,0.6,-356.73 ,"1,049.20 "
240,11.69 ,3,0.6,-4.68 ,29.22 
241,31.98 ,2,0.2,11.19 ,39.98 
242,177.23 ,5,0.5,-120.51 ,354.45 
243,4.04 ,3,0.6,-2.83 ,10.11 
244,7.41 ,2,0.2,1.20 ,9.26 
245,"2,001.86 ",7,0,580.54 ,"2,001.86 "
246,166.72 ,2,0,41.68 ,166.72 
247,47.88 ,6,0,23.94 ,47.88 
248,"1,503.25 ",5,0,496.07 ,"1,503.25 "
249,25.92 ,4,0,12.44 ,25.92 
250,321.57 ,2,0.2,28.14 ,401.96 
251,7.61 ,1,0,3.58 ,7.61 
252,"3,347.37 ",13,0,636.00 ,"3,347.37 "
253,80.58 ,6,0,22.56 ,80.58 
254,361.92 ,4,0,162.86 ,361.92 
255,12.13 ,9,0.6,-8.49 ,30.33 
256,82.37 ,2,0.2,-19.56 ,102.96 
257,53.92 ,5,0.2,4.04 ,67.40 
258,647.90 ,6,0.2,56.69 ,809.88 
259,20.37 ,3,0,6.93 ,20.37 
260,221.55 ,3,0,6.65 ,221.55 
261,17.52 ,5,0.2,6.13 ,21.90 
262,1.62 ,2,0.8,-4.47 ,8.12 
263,"3,059.98 ",3,0.4,-510.00 ,"5,099.97 "
264,"2,519.96 ",7,0.4,-252.00 ,"4,199.93 "
265,328.22 ,4,0.2,28.72 ,410.28 
266,79.90 ,2,0,35.16 ,79.90 
267,14.02 ,3,0.2,4.73 ,17.52 
268,7.56 ,6,0,0.30 ,7.56 
269,37.21 ,1,0.2,-7.44 ,46.51 
270,57.58 ,3,0.2,21.59 ,71.97 
271,725.84 ,4,0,210.49 ,725.84 
272,209.93 ,7,0,92.37 ,209.93 
273,5.28 ,3,0,2.32 ,5.28 
274,10.92 ,3,0.2,4.10 ,13.65 
275,8.82 ,2,0,4.06 ,8.82 
276,5.98 ,1,0,1.55 ,5.98 
277,11.65 ,2,0.2,4.08 ,14.56 
278,18.18 ,4,0.2,5.91 ,22.72 
279,59.71 ,6,0.2,5.97 ,74.64 
280,24.84 ,3,0.2,8.69 ,31.05 
281,2.08 ,5,0.8,-3.43 ,10.40 
282,"1,114.40 ",7,0.2,376.11 ,"1,393.00 "
283,"1,038.84 ",5,0.2,51.94 ,"1,298.55 "
284,141.76 ,5,0.2,47.84 ,177.20 
285,239.80 ,5,0.2,47.96 ,299.75 
286,31.10 ,6,0.2,10.89 ,38.88 
287,254.06 ,7,0.7,-169.37 ,846.86 
288,194.53 ,2,0.2,24.32 ,243.16 
289,961.48 ,5,0.2,-204.31 ,"1,201.85 "
290,19.10 ,7,0.2,6.68 ,23.87 
291,18.50 ,8,0.2,6.24 ,23.12 
292,255.98 ,2,0.2,54.40 ,319.98 
293,86.97 ,3,0.5,-48.70 ,173.94 
294,300.42 ,8,0.2,78.86 ,375.52 
295,230.35 ,3,0.2,20.16 ,287.94 
296,218.35 ,3,0.2,-24.56 ,272.94 
297,78.60 ,5,0.7,-62.88 ,262.00 
298,27.55 ,3,0.2,9.30 ,34.44 
299,32.40 ,5,0,15.55 ,32.40 
300,"1,082.48 ",8,0,10.82 ,"1,082.48 "
301,56.91 ,3,0,27.32 ,56.91 
302,77.60 ,4,0,38.02 ,77.60 
303,14.28 ,1,0,6.57 ,14.28 
304,219.08 ,3,0.5,-131.45 ,438.15 
305,26.80 ,2,0,12.86 ,26.80 
306,9.84 ,3,0,2.85 ,9.84 
307,45.48 ,3,0,20.92 ,45.48 
308,289.20 ,6,0,83.87 ,289.20 
309,4.89 ,1,0,2.00 ,4.89 
310,15.14 ,4,0.2,3.59 ,18.92 
311,466.77 ,2,0.2,52.51 ,583.46 
312,15.23 ,1,0.2,1.71 ,19.04 
313,6.26 ,3,0.2,2.04 ,7.83 
314,87.54 ,3,0,37.64 ,87.54 
315,178.38 ,2,0.2,22.30 ,222.98 
316,15.55 ,3,0.2,5.44 ,19.44 
317,99.14 ,4,0.2,8.67 ,123.92 
318,135.88 ,1,0.1,24.16 ,150.98 
319,"3,991.98 ",2,0,"1,995.99 ","3,991.98 "
320,275.94 ,6,0,80.02 ,275.94 
321,360.00 ,4,0,129.60 ,360.00 
322,43.57 ,1,0,13.07 ,43.57 
323,7.16 ,2,0,3.58 ,7.16 
324,251.52 ,6,0.2,81.74 ,314.40 
325,99.99 ,1,0,35.00 ,99.99 
326,15.99 ,1,0.2,1.00 ,19.99 
327,290.90 ,3,0.4,-67.88 ,484.83 
328,54.22 ,2,0.2,3.39 ,67.78 
329,786.74 ,4,0.3,-258.50 ,"1,123.92 "
330,100.24 ,10,0.2,33.83 ,125.30 
331,37.76 ,6,0.7,-27.69 ,125.88 
332,82.80 ,2,0.4,-20.70 ,138.00 
333,20.72 ,2,0.7,-13.82 ,69.08 
334,4.90 ,3,0.7,-3.43 ,16.32 
335,4.75 ,1,0.2,1.60 ,5.94 
336,959.98 ,2,0.2,335.99 ,"1,199.98 "
337,14.37 ,4,0.2,4.49 ,17.96 
338,7.71 ,2,0.2,2.80 ,9.64 
339,698.35 ,3,0.2,-17.46 ,872.94 
340,4.96 ,4,0,2.33 ,4.96 
341,17.86 ,4,0.2,1.12 ,22.32 
342,509.97 ,10,0.7,-407.98 ,"1,699.90 "
343,30.99 ,13,0.2,10.07 ,38.74 
344,71.93 ,12,0.4,8.39 ,119.88 
345,88.80 ,4,0.2,-2.22 ,111.00 
346,47.98 ,3,0.2,4.80 ,59.97 
347,7.56 ,3,0,3.10 ,7.56 
348,24.56 ,2,0,11.54 ,24.56 
349,12.96 ,2,0,4.15 ,12.96 
350,6.79 ,1,0,2.31 ,6.79 
351,24.56 ,2,0,11.54 ,24.56 
352,3.05 ,1,0.2,1.07 ,3.81 
353,49.12 ,4,0,23.09 ,49.12 
354,"4,355.17 ",4,0.2,"1,415.43 ","5,443.96 "
355,388.70 ,6,0.2,-4.86 ,485.88 
356,8.26 ,2,0,3.80 ,8.26 
357,17.04 ,4,0,6.99 ,17.04 
358,34.40 ,5,0,15.82 ,34.40 
359,36.24 ,5,0.2,11.33 ,45.30 
360,647.84 ,8,0,168.44 ,647.84 
361,20.70 ,2,0,9.94 ,20.70 
362,20.70 ,2,0,9.94 ,20.70 
363,488.65 ,3,0.1,86.87 ,542.94 
364,5.56 ,2,0,1.45 ,5.56 
365,47.12 ,8,0,20.73 ,47.12 
366,211.96 ,4,0,8.48 ,211.96 
367,23.20 ,4,0,10.44 ,23.20 
368,7.36 ,2,0,0.15 ,7.36 
369,104.79 ,7,0,29.34 ,104.79 
370,"1,043.92 ",4,0,271.42 ,"1,043.92 "
371,25.92 ,5,0.2,9.40 ,32.40 
372,53.42 ,3,0.2,4.67 ,66.78 
373,8.16 ,5,0.7,-5.71 ,27.20 
374,"1,023.94 ",8,0.2,179.19 ,"1,279.92 "
375,9.24 ,1,0.2,0.92 ,11.55 
376,479.04 ,10,0.2,-29.94 ,598.80 
377,99.14 ,4,0.2,30.98 ,123.92 
378,"1,488.42 ",7,0.3,-297.68 ,"2,126.32 "
379,8.65 ,3,0.8,-20.33 ,43.26 
380,23.83 ,3,0.2,2.68 ,29.79 
381,12.18 ,4,0.8,-18.87 ,60.88 
382,50.96 ,7,0,25.48 ,50.96 
383,49.54 ,3,0.2,17.34 ,61.92 
384,41.90 ,2,0,8.80 ,41.90 
385,375.46 ,3,0.45,-157.01 ,682.65 
386,83.98 ,3,0.2,-1.05 ,104.97 
387,482.34 ,4,0.7,-337.64 ,"1,607.80 "
388,2.96 ,1,0.2,0.78 ,3.70 
389,2.62 ,1,0.2,0.43 ,3.28 
390,23.36 ,4,0.2,7.88 ,29.20 
391,39.98 ,2,0,13.59 ,39.98 
392,246.38 ,2,0.2,27.72 ,307.98 
393,"1,799.97 ",3,0,701.99 ,"1,799.97 "
394,12.46 ,3,0.8,-20.56 ,62.31 
395,75.79 ,3,0.2,25.58 ,94.74 
396,49.96 ,2,0,9.49 ,49.96 
397,12.96 ,2,0,6.22 ,12.96 
398,70.12 ,4,0,21.04 ,70.12 
399,35.95 ,3,0.2,3.60 ,44.94 
400,"2,396.27 ",4,0.32,-317.15 ,"3,523.92 "
401,131.14 ,4,0.2,-32.78 ,163.92 
402,57.58 ,2,0.2,0.72 ,71.98 
403,9.57 ,2,0.2,3.47 ,11.96 
404,39.07 ,6,0.2,9.77 ,48.84 
405,35.91 ,3,0,9.70 ,35.91 
406,179.95 ,5,0,37.79 ,179.95 
407,"1,199.98 ",3,0.2,434.99 ,"1,499.97 "
408,27.15 ,5,0,13.30 ,27.15 
409,"1,004.02 ",7,0.2,-112.95 ,"1,255.03 "
410,9.68 ,1,0,4.65 ,9.68 
411,28.35 ,9,0,13.61 ,28.35 
412,55.98 ,1,0,27.43 ,55.98 
413,"1,336.83 ",13,0.15,31.45 ,"1,572.74 "
414,113.57 ,2,0.2,-18.45 ,141.96 
415,139.86 ,7,0,65.73 ,139.86 
416,307.14 ,4,0.2,26.87 ,383.92 
417,95.92 ,8,0,25.90 ,95.92 
418,383.80 ,5,0.2,38.38 ,479.75 
419,5.78 ,1,0,2.83 ,5.78 
420,9.32 ,4,0,2.70 ,9.32 
421,15.25 ,1,0,7.02 ,15.25 
422,196.75 ,6,0.2,56.57 ,245.94 
423,56.56 ,4,0,14.71 ,56.56 
424,32.70 ,3,0,8.50 ,32.70 
425,866.40 ,4,0,225.26 ,866.40 
426,28.40 ,2,0,11.08 ,28.40 
427,287.92 ,8,0,138.20 ,287.92 
428,69.99 ,1,0,30.10 ,69.99 
429,6.67 ,6,0.2,0.50 ,8.34 
430,189.59 ,2,0.7,-145.35 ,631.96 
431,408.74 ,7,0.2,76.64 ,510.93 
432,291.96 ,5,0.2,54.74 ,364.95 
433,4.77 ,2,0.2,-0.77 ,5.96 
434,714.30 ,5,0,207.15 ,714.30 
435,4.81 ,2,0.7,-3.69 ,16.04 
436,247.80 ,5,0.2,-18.59 ,309.75 
437,"1,007.98 ",3,0.3,43.20 ,"1,439.97 "
438,313.49 ,7,0.2,113.64 ,391.86 
439,31.87 ,8,0.2,11.55 ,39.84 
440,207.85 ,3,0.1,2.31 ,230.94 
441,12.22 ,1,0,3.67 ,12.22 
442,194.94 ,3,0,23.39 ,194.94 
443,70.95 ,3,0,20.58 ,70.95 
444,91.36 ,4,0,42.03 ,91.36 
445,242.94 ,3,0,29.15 ,242.94 
446,22.05 ,7,0,10.58 ,22.05 
447,2.91 ,1,0,1.37 ,2.91 
448,59.52 ,3,0,15.48 ,59.52 
449,161.94 ,3,0,9.72 ,161.94 
450,263.88 ,6,0,71.25 ,263.88 
451,30.48 ,3,0,7.92 ,30.48 
452,9.84 ,3,0,2.85 ,9.84 
453,35.12 ,4,0,9.13 ,35.12 
454,284.36 ,2,0.4,-75.83 ,473.94 
455,665.41 ,2,0.2,66.54 ,831.76 
456,63.88 ,4,0,24.91 ,63.88 
457,129.57 ,2,0.2,-24.29 ,161.96 
458,747.56 ,3,0.3,-96.11 ,"1,067.94 "
459,8.93 ,2,0.2,3.35 ,11.16 
460,103.92 ,4,0,36.37 ,103.92 
461,899.91 ,9,0,377.96 ,899.91 
462,51.31 ,3,0.2,18.60 ,64.14 
463,23.56 ,5,0.2,7.07 ,29.45 
464,"1,272.63 ",6,0.5,-814.48 ,"2,545.26 "
465,28.49 ,5,0.7,-20.89 ,94.95 
466,185.38 ,2,0.2,-34.76 ,231.72 
467,78.27 ,2,0.2,5.87 ,97.84 
468,254.74 ,7,0.6,-312.06 ,636.86 
469,205.33 ,2,0.32,-36.24 ,301.96 
470,4.79 ,3,0.8,-7.90 ,23.94 
471,55.48 ,1,0,26.63 ,55.48 
472,340.92 ,3,0,3.41 ,340.92 
473,222.67 ,2,0.15,10.48 ,261.96 
474,703.97 ,4,0.2,88.00 ,879.96 
475,92.52 ,6,0,24.98 ,92.52 
476,62.65 ,7,0,28.82 ,62.65 
477,94.85 ,5,0,45.53 ,94.85 
478,95.76 ,6,0.2,7.18 ,119.70 
479,40.20 ,3,0,19.30 ,40.20 
480,14.70 ,5,0,6.62 ,14.70 
481,704.25 ,5,0,84.51 ,704.25 
482,9.09 ,3,0,1.91 ,9.09 
483,5.96 ,2,0,1.67 ,5.96 
484,159.98 ,2,0,57.59 ,159.98 
485,29.60 ,2,0,14.80 ,29.60 
486,514.17 ,5,0.15,-30.25 ,604.90 
487,279.96 ,5,0.2,17.50 ,349.95 
488,"2,735.95 ",6,0.2,341.99 ,"3,419.94 "
489,7.99 ,1,0.2,0.60 ,9.99 
490,63.98 ,2,0.2,10.40 ,79.98 
491,70.37 ,2,0.2,6.16 ,87.96 
492,449.15 ,5,0,8.98 ,449.15 
493,11.07 ,3,0,5.09 ,11.07 
494,93.98 ,2,0,13.16 ,93.98 
495,189.88 ,3,0.4,-94.94 ,316.47 
496,105.42 ,2,0,51.66 ,105.42 
497,119.62 ,8,0.2,40.37 ,149.52 
498,255.76 ,4,0,81.84 ,255.76 
499,241.57 ,2,0.2,18.12 ,301.96 
500,69.30 ,9,0,22.87 ,69.30 
501,22.62 ,2,0.7,-15.08 ,75.40 
502,14.95 ,2,0.7,-11.96 ,49.84 
503,801.57 ,2,0.2,50.10 ,"1,001.96 "
504,2.38 ,3,0.7,-1.90 ,7.92 
505,32.79 ,1,0.2,11.89 ,40.99 
506,15.92 ,5,0.2,5.37 ,19.90 
507,2.74 ,1,0,0.74 ,2.74 
508,8.34 ,3,0,2.17 ,8.34 
509,46.74 ,3,0,11.69 ,46.74 
510,"6,354.95 ",5,0,"3,177.48 ","6,354.95 "
511,126.30 ,3,0,40.42 ,126.30 
512,38.04 ,2,0,12.17 ,38.04 
513,7.15 ,3,0.2,0.72 ,8.94 
514,6.63 ,3,0,1.79 ,6.63 
515,5.88 ,2,0,1.71 ,5.88 
516,"2,999.95 ",5,0,"1,379.98 ","2,999.95 "
517,51.45 ,3,0,13.89 ,51.45 
518,11.96 ,2,0,5.38 ,11.96 
519,"1,126.02 ",3,0,56.30 ,"1,126.02 "
520,18.39 ,1,0.2,5.29 ,22.99 
521,129.57 ,2,0.2,-25.91 ,161.96 
522,14.11 ,9,0.8,-21.17 ,70.56 
523,210.98 ,2,0,21.10 ,210.98 
524,55.18 ,3,0.2,-12.41 ,68.97 
525,66.26 ,2,0,27.17 ,66.26 
526,22.20 ,5,0,10.43 ,22.20 
527,683.95 ,3,0.2,42.75 ,854.94 
528,45.70 ,3,0.2,5.14 ,57.12 
529,36.34 ,3,0.2,-7.27 ,45.42 
530,666.25 ,1,0.2,-149.91 ,832.81 
531,52.51 ,6,0.2,19.69 ,65.64 
532,190.72 ,1,0.2,11.92 ,238.40 
533,47.94 ,3,0,2.40 ,47.94 
534,979.95 ,5,0,274.39 ,979.95 
535,22.75 ,5,0,11.38 ,22.75 
536,16.77 ,2,0.2,1.47 ,20.96 
537,42.62 ,7,0.8,-68.19 ,213.08 
538,10.75 ,4,0.2,3.36 ,13.44 
539,152.94 ,3,0,41.29 ,152.94 
540,283.92 ,4,0,70.98 ,283.92 
541,468.90 ,6,0,206.32 ,468.90 
542,380.86 ,8,0.2,38.09 ,476.08 
543,646.78 ,9,0.2,-145.52 ,808.47 
544,58.11 ,2,0.2,7.26 ,72.64 
545,100.79 ,1,0.2,6.30 ,125.99 
546,66.11 ,4,0.6,-84.29 ,165.28 
547,41.28 ,6,0.2,13.93 ,51.60 
548,13.36 ,2,0,6.41 ,13.36 
549,250.27 ,9,0.2,15.64 ,312.84 
550,11.36 ,3,0.8,-17.05 ,56.82 
551,8.72 ,5,0.2,-1.74 ,10.90 
552,"1,121.57 ",2,0.2,0.00 ,"1,401.96 "
553,34.50 ,1,0.2,6.04 ,43.13 
554,10.82 ,3,0.2,2.57 ,13.53 
555,"1,295.78 ",2,0,310.99 ,"1,295.78 "
556,19.46 ,4,0.2,3.40 ,24.32 
557,20.70 ,2,0,9.94 ,20.70 
558,"1,335.68 ",4,0.2,-217.05 ,"1,669.60 "
559,32.40 ,5,0,15.55 ,32.40 
