Order No,Order ID,Customer ID,Postal Code,Product ID
140,CA-2020-145583,LC-16885,95661,FUR-FU-10001706
141,CA-2020-110366,JD-15895,19140,FUR-FU-10004848
142,CA-2021-106180,SH-19975,94122,OFF-AR-10000940
143,CA-2021-106180,SH-19975,94122,OFF-EN-10004030
144,CA-2021-106180,SH-19975,94122,OFF-PA-10004327
145,CA-2021-155376,SG-20080,64055,OFF-AP-10001058
146,CA-2019-110744,HA-14920,91104,OFF-ST-10003656
147,CA-2018-110072,MG-17680,43055,FUR-FU-10000521
148,CA-2020-114489,JE-16165,53132,TEC-PH-10000215
149,CA-2020-114489,JE-16165,53132,TEC-PH-10001448
150,CA-2020-114489,JE-16165,53132,FUR-CH-10000454
151,CA-2020-114489,JE-16165,53132,OFF-BI-10002735
152,CA-2020-158834,TW-21025,85254,OFF-AP-10000326
153,CA-2020-158834,TW-21025,85254,TEC-PH-10001254
154,CA-2019-124919,SP-20650,95123,OFF-PA-10001950
155,CA-2019-124919,SP-20650,95123,OFF-PA-10002254
156,CA-2019-124919,SP-20650,95123,OFF-ST-10001590
157,CA-2019-118948,NK-18490,98105,OFF-AR-10001547
158,CA-2018-104269,DB-13060,98115,FUR-CH-10004063
159,CA-2020-114104,NP-18670,73034,OFF-LA-10002475
160,CA-2020-114104,NP-18670,73034,TEC-PH-10004536
161,CA-2020-162733,TT-21070,90045,OFF-PA-10002751
162,CA-2019-119697,EM-13960,19134,TEC-AC-10003657
163,CA-2020-154508,RD-19900,88220,OFF-EN-10001990
164,CA-2020-113817,MJ-17740,98115,OFF-BI-10004002
165,CA-2018-139892,BM-11140,78207,OFF-AR-10004441
166,CA-2018-139892,BM-11140,78207,TEC-MA-10000822
167,CA-2018-139892,BM-11140,78207,OFF-ST-10000991
168,CA-2018-139892,BM-11140,78207,FUR-CH-10004287
169,CA-2018-139892,BM-11140,78207,OFF-AR-10002656
170,CA-2018-139892,BM-11140,78207,OFF-AP-10002518
171,CA-2018-139892,BM-11140,78207,TEC-PH-10003931
172,CA-2018-118962,CS-12130,90004,OFF-PA-10000659
173,CA-2018-118962,CS-12130,90004,OFF-PA-10001144
174,CA-2018-118962,CS-12130,90004,FUR-CH-10003817
175,US-2018-100853,JB-15400,60623,OFF-AP-10000891
176,US-2018-100853,JB-15400,60623,OFF-LA-10003148
177,US-2021-152366,SJ-20500,77036,OFF-AP-10002684
178,US-2019-101511,JE-15745,43055,FUR-CH-10004698
179,US-2019-101511,JE-15745,43055,OFF-SU-10002189
180,CA-2019-137225,JK-15640,10009,OFF-AR-10001940
181,CA-2018-166191,DK-13150,62521,OFF-ST-10003455
182,CA-2018-166191,DK-13150,62521,TEC-AC-10004659
183,CA-2018-158274,RM-19675,71203,TEC-PH-10003273
184,CA-2018-158274,RM-19675,71203,TEC-PH-10004896
185,CA-2018-158274,RM-19675,71203,TEC-AC-10002345
186,CA-2020-105018,SK-19990,06824,OFF-BI-10001890
187,CA-2018-123260,FM-14290,90032,TEC-AC-10002323
188,CA-2020-157000,AM-10360,75051,OFF-ST-10001328
189,CA-2020-157000,AM-10360,75051,OFF-PA-10001950
190,CA-2019-102281,MP-17470,10035,FUR-BO-10002613
191,CA-2019-102281,MP-17470,10035,TEC-PH-10001552
192,CA-2019-102281,MP-17470,10035,OFF-PA-10000061
193,CA-2019-102281,MP-17470,10035,FUR-BO-10002545
194,CA-2019-102281,MP-17470,10035,OFF-AR-10003514
195,CA-2019-131457,MZ-17515,92374,OFF-EN-10001509
196,CA-2018-140004,CB-12025,45011,OFF-AR-10004685
197,CA-2018-140004,CB-12025,45011,OFF-AR-10004027
198,CA-2021-107720,VM-21685,07090,OFF-ST-10001414
199,US-2021-124303,FH-14365,19120,OFF-BI-10000343
200,US-2021-124303,FH-14365,19120,OFF-PA-10002749
201,CA-2021-105074,MB-17305,44312,OFF-PA-10002666
202,CA-2018-133690,BS-11755,80219,FUR-TA-10004289
203,CA-2018-133690,BS-11755,80219,OFF-AP-10003622
204,US-2021-116701,LC-17140,75220,OFF-AP-10003217
205,CA-2021-126382,HK-14890,37064,FUR-FU-10002960
206,CA-2021-108329,LE-16810,90604,TEC-PH-10001918
207,CA-2021-135860,JH-15985,48601,OFF-ST-10000642
208,CA-2021-135860,JH-15985,48601,TEC-PH-10001700
209,CA-2021-135860,JH-15985,48601,OFF-BI-10003274
210,CA-2021-135860,JH-15985,48601,OFF-FA-10000134
211,CA-2021-135860,JH-15985,48601,OFF-ST-10001522
212,CA-2019-101007,MS-17980,75220,TEC-AC-10001266
213,CA-2019-146262,VW-21775,44256,OFF-LA-10004544
214,CA-2019-146262,VW-21775,44256,FUR-BO-10004695
215,CA-2019-146262,VW-21775,44256,TEC-PH-10002844
216,CA-2019-146262,VW-21775,44256,TEC-MA-10000864
217,CA-2019-146262,VW-21775,44256,TEC-AC-10000109
218,CA-2020-130162,JH-15910,90032,OFF-ST-10001328
219,CA-2020-130162,JH-15910,90032,TEC-PH-10002563
220,CA-2019-169397,JB-15925,43017,OFF-FA-10000585
221,CA-2019-169397,JB-15925,43017,OFF-PA-10004000
222,CA-2019-169397,JB-15925,43017,OFF-BI-10002852
223,CA-2019-169397,JB-15925,43017,FUR-FU-10000087
224,CA-2019-169397,JB-15925,43017,TEC-MA-10001148
225,CA-2019-169397,JB-15925,43017,OFF-AR-10001958
226,CA-2019-163055,DS-13180,48227,OFF-AR-10001026
227,CA-2019-163055,DS-13180,48227,FUR-TA-10003748
228,CA-2019-163055,DS-13180,48227,OFF-ST-10002485
229,US-2019-145436,VD-21670,38401,FUR-CH-10004860
230,US-2019-145436,VD-21670,38401,FUR-CH-10004477
231,US-2018-156216,EA-14035,28205,OFF-BI-10001679
232,US-2021-100930,CS-12400,33614,FUR-TA-10001705
233,US-2021-100930,CS-12400,33614,FUR-TA-10003473
234,US-2021-100930,CS-12400,33614,OFF-BI-10001679
235,US-2021-100930,CS-12400,33614,FUR-FU-10004017
236,US-2021-100930,CS-12400,33614,TEC-AC-10003832
237,CA-2021-160514,DB-13120,95051,OFF-PA-10002479
238,CA-2020-157749,KL-16645,60610,OFF-PA-10003349
239,CA-2020-157749,KL-16645,60610,FUR-FU-10000576
240,CA-2020-157749,KL-16645,60610,FUR-FU-10004351
241,CA-2020-157749,KL-16645,60610,TEC-PH-10000011
242,CA-2020-157749,KL-16645,60610,FUR-TA-10002607
243,CA-2020-157749,KL-16645,60610,FUR-FU-10002505
244,CA-2020-157749,KL-16645,60610,OFF-AR-10004685
245,CA-2018-131926,DW-13480,55044,FUR-CH-10004063
246,CA-2018-131926,DW-13480,55044,OFF-ST-10002276
247,CA-2018-131926,DW-13480,55044,OFF-PA-10004082
248,CA-2018-131926,DW-13480,55044,OFF-AP-10002945
249,CA-2018-131926,DW-13480,55044,OFF-PA-10000061
250,CA-2020-154739,LH-17155,94109,FUR-CH-10002965
251,CA-2020-145625,KC-16540,92037,OFF-PA-10004569
252,CA-2020-145625,KC-16540,92037,TEC-AC-10003832
253,CA-2020-146941,DL-13315,10024,OFF-ST-10001228
254,CA-2020-146941,DL-13315,10024,OFF-EN-10003296
255,US-2019-159982,DR-12880,60623,FUR-FU-10002505
256,US-2019-159982,DR-12880,60623,OFF-ST-10004804
257,US-2019-159982,DR-12880,60623,OFF-ST-10001590
258,US-2019-159982,DR-12880,60623,TEC-PH-10001580
259,CA-2021-163139,CC-12670,10009,TEC-AC-10000290
260,CA-2021-163139,CC-12670,10009,OFF-ST-10002790
261,CA-2021-163139,CC-12670,10009,OFF-BI-10003460
262,US-2021-155299,Dl-13600,77506,OFF-AP-10002203
263,US-2018-106992,SB-20290,77036,TEC-MA-10000822
264,US-2018-106992,SB-20290,77036,TEC-MA-10003353
265,CA-2020-125318,RC-19825,60610,TEC-PH-10001433
266,CA-2019-155040,AH-10210,94513,TEC-AC-10004469
267,CA-2021-136826,CB-12535,27514,OFF-AR-10003602
268,CA-2020-111010,PG-18895,07960,OFF-FA-10003472
269,US-2021-145366,CA-12310,45231,OFF-ST-10004180
270,US-2021-145366,CA-12310,45231,OFF-EN-10004386
271,CA-2021-163979,KH-16690,94110,OFF-ST-10003208
272,CA-2019-155334,HA-14920,94109,TEC-AC-10003628
273,CA-2019-155334,HA-14920,94109,FUR-FU-10003274
274,CA-2019-155334,HA-14920,94109,OFF-BI-10002557
275,CA-2021-118136,BB-10990,90301,OFF-PA-10002615
276,CA-2021-118136,BB-10990,90301,OFF-AR-10001427
277,CA-2021-132976,AG-10495,19140,OFF-PA-10000673
278,CA-2021-132976,AG-10495,19140,OFF-PA-10004470
279,CA-2021-132976,AG-10495,19140,OFF-ST-10000876
280,CA-2021-132976,AG-10495,19140,OFF-LA-10002043
281,US-2019-161991,SC-20725,77070,OFF-BI-10004967
282,US-2019-161991,SC-20725,77070,TEC-PH-10001760
283,CA-2019-130890,JO-15280,90004,FUR-TA-10002903
284,CA-2019-130883,TB-21520,97206,OFF-PA-10000474
285,CA-2019-130883,TB-21520,97206,TEC-AC-10001956
286,CA-2019-130883,TB-21520,97206,OFF-PA-10004100
287,CA-2020-112697,AH-10195,33319,OFF-BI-10000778
288,CA-2020-112697,AH-10195,33319,OFF-AP-10002684
289,CA-2020-112697,AH-10195,33319,OFF-SU-10000646
290,CA-2020-110772,NZ-18565,43229,OFF-FA-10002983
291,CA-2020-110772,NZ-18565,43229,OFF-LA-10004689
292,CA-2020-110772,NZ-18565,43229,TEC-AC-10002001
293,CA-2020-110772,NZ-18565,43229,FUR-BO-10004709
294,CA-2018-111451,KL-16555,80906,FUR-FU-10004091
295,CA-2018-111451,KL-16555,80906,FUR-CH-10001891
296,CA-2018-111451,KL-16555,80906,FUR-FU-10002918
297,CA-2018-111451,KL-16555,80906,OFF-BI-10004593
298,CA-2018-111451,KL-16555,80906,OFF-FA-10004854
299,CA-2020-142545,JD-15895,07109,OFF-PA-10002105
300,CA-2020-142545,JD-15895,07109,OFF-ST-10002756
301,CA-2020-142545,JD-15895,07109,OFF-PA-10004243
302,CA-2020-142545,JD-15895,07109,FUR-FU-10001861
303,CA-2020-142545,JD-15895,07109,OFF-BI-10002706
304,US-2021-152380,JH-15910,60623,FUR-TA-10002533
305,CA-2019-144253,AS-10225,10024,FUR-FU-10002671
306,CA-2018-130960,KB-16600,48180,OFF-AR-10003651
307,CA-2018-111003,CR-12625,08701,OFF-BI-10001072
308,CA-2018-111003,CR-12625,08701,OFF-AR-10002135
309,CA-2021-126774,SH-20395,22204,OFF-AR-10002804
310,CA-2020-142902,BP-11185,80004,FUR-FU-10001918
311,CA-2020-142902,BP-11185,80004,FUR-CH-10004086
312,CA-2020-142902,BP-11185,80004,FUR-FU-10001756
313,CA-2020-142902,BP-11185,80004,OFF-LA-10000634
314,CA-2018-120887,TS-21205,07601,FUR-FU-10001588
315,CA-2018-167850,AG-10525,33710,TEC-PH-10002398
316,CA-2018-167850,AG-10525,33710,OFF-PA-10001937
317,CA-2018-164259,SP-20860,19143,OFF-AR-10003373
318,CA-2018-164973,NM-18445,10024,FUR-CH-10002602
319,CA-2018-164973,NM-18445,10024,TEC-MA-10002927
320,CA-2018-164973,NM-18445,10024,TEC-PH-10004093
321,CA-2018-164973,NM-18445,10024,TEC-AC-10000892
322,CA-2018-164973,NM-18445,10024,OFF-ST-10002974
323,CA-2018-156601,FA-14230,90805,OFF-FA-10000624
324,CA-2020-162138,GK-14620,92345,OFF-BI-10004593
325,CA-2020-162138,GK-14620,92345,TEC-AC-10001908
326,CA-2021-153339,DJ-13510,37130,FUR-FU-10001967
327,US-2020-141544,PO-18850,19143,TEC-PH-10003645
328,US-2020-141544,PO-18850,19143,OFF-ST-10000675
329,US-2020-141544,PO-18850,19143,FUR-CH-10003312
330,US-2020-141544,PO-18850,19143,OFF-LA-10001074
331,US-2020-141544,PO-18850,19143,OFF-BI-10001524
332,US-2020-150147,JL-15850,19134,TEC-PH-10004614
333,US-2020-150147,JL-15850,19134,OFF-BI-10001153
334,US-2020-150147,JL-15850,19134,OFF-BI-10001982
335,CA-2019-137946,DB-13615,90045,OFF-BI-10001922
336,CA-2019-137946,DB-13615,90045,TEC-CO-10001449
337,CA-2019-137946,DB-13615,90045,OFF-BI-10004140
338,CA-2018-129924,AC-10420,94122,OFF-BI-10003314
339,CA-2018-129924,AC-10420,94122,FUR-TA-10004575
340,CA-2019-128167,KL-16645,84041,OFF-FA-10000490
341,CA-2018-122336,JD-15895,19140,OFF-AR-10000122
342,CA-2018-122336,JD-15895,19140,OFF-BI-10003656
343,CA-2018-122336,JD-15895,19140,OFF-FA-10002780
344,CA-2018-122336,JD-15895,19140,TEC-PH-10000702
345,US-2019-120712,CS-12130,78745,OFF-ST-10000107
346,CA-2021-169901,CC-12550,94122,TEC-PH-10002293
347,CA-2021-134306,TD-20995,01852,OFF-AR-10004027
348,CA-2021-134306,TD-20995,01852,OFF-PA-10000249
349,CA-2021-134306,TD-20995,01852,OFF-AR-10001374
350,CA-2020-129714,AB-10060,10009,TEC-AC-10000290
351,CA-2020-129714,AB-10060,10009,OFF-PA-10001970
352,CA-2020-129714,AB-10060,10009,OFF-BI-10002160
353,CA-2020-129714,AB-10060,10009,OFF-PA-10001970
354,CA-2020-129714,AB-10060,10009,OFF-BI-10004995
355,CA-2020-138520,JL-15505,10035,FUR-BO-10002268
356,CA-2020-138520,JL-15505,10035,OFF-EN-10001137
357,CA-2020-138520,JL-15505,10035,OFF-AR-10002399
358,CA-2020-138520,JL-15505,10035,OFF-PA-10002713
359,CA-2020-130001,HK-14890,28205,OFF-PA-10002666
360,CA-2021-155698,VB-21745,31907,OFF-AP-10001124
361,CA-2021-155698,VB-21745,31907,OFF-LA-10001158
362,CA-2021-144904,KW-16435,10009,OFF-LA-10001158
363,CA-2021-144904,KW-16435,10009,FUR-CH-10000785
364,CA-2021-144904,KW-16435,10009,OFF-AR-10003732
365,CA-2021-144904,KW-16435,10009,FUR-FU-10000023
366,CA-2018-123344,JD-16060,94109,OFF-ST-10001713
367,CA-2020-155516,MK-17905,06040,OFF-BI-10002412
368,CA-2020-155516,MK-17905,06040,OFF-SU-10001225
369,CA-2020-155516,MK-17905,06040,OFF-ST-10002406
370,CA-2020-155516,MK-17905,06040,FUR-BO-10002545
371,CA-2021-104745,GT-14755,78550,OFF-PA-10002036
372,CA-2021-104745,GT-14755,78550,OFF-ST-10002205
373,US-2018-119137,AG-10900,85705,OFF-BI-10001982
374,US-2018-119137,AG-10900,85705,TEC-AC-10003911
375,US-2018-119137,AG-10900,85705,OFF-AR-10000658
376,US-2018-119137,AG-10900,85705,TEC-AC-10002076
377,US-2020-134656,MM-18280,62301,OFF-PA-10003039
378,US-2021-134481,AR-10405,02038,FUR-TA-10004915
379,CA-2019-130792,RA-19915,77095,OFF-AP-10000696
380,CA-2019-130792,RA-19915,77095,OFF-ST-10003327
381,CA-2019-130792,RA-19915,77095,OFF-BI-10000309
382,CA-2020-134775,AS-10285,94109,OFF-PA-10004734
383,CA-2020-134775,AS-10285,94109,OFF-BI-10002225
384,CA-2019-125395,LA-16780,48180,TEC-AC-10004708
385,US-2019-168935,DO-13435,33024,FUR-TA-10000617
386,US-2019-168935,DO-13435,33024,TEC-AC-10002335
387,CA-2019-122756,DK-13225,19140,TEC-MA-10001681
388,CA-2019-122756,DK-13225,19140,FUR-FU-10001935
389,CA-2018-115973,NG-18430,45231,OFF-AR-10004757
390,CA-2021-101798,MV-18190,10009,OFF-BI-10000050
391,CA-2021-101798,MV-18190,10009,TEC-AC-10001998
392,US-2018-135972,JG-15115,98198,TEC-PH-10003012
393,US-2018-135972,JG-15115,98198,TEC-CO-10002313
394,US-2018-134971,BP-11095,61604,OFF-BI-10003982
395,CA-2021-102946,VP-21730,89115,OFF-BI-10004492
396,CA-2021-165603,SS-20140,02886,OFF-ST-10000798
397,CA-2021-165603,SS-20140,02886,OFF-PA-10002552
398,CA-2019-122259,HP-14815,49201,OFF-SU-10002573
399,CA-2020-108987,AG-10675,77036,OFF-ST-10001580
400,CA-2020-108987,AG-10675,77036,FUR-BO-10004834
401,CA-2020-108987,AG-10675,77036,OFF-ST-10000934
402,CA-2020-108987,AG-10675,77036,TEC-AC-10000158
403,CA-2018-113166,LF-17185,33180,OFF-PA-10001947
404,CA-2018-155208,SP-20650,28403,OFF-AR-10003478
405,CA-2021-117933,RF-19840,10024,OFF-AP-10004249
406,CA-2021-117457,KH-16510,94110,TEC-AC-10000158
407,CA-2021-117457,KH-16510,94110,TEC-CO-10004115
408,CA-2021-117457,KH-16510,94110,OFF-PA-10003724
409,CA-2021-117457,KH-16510,94110,FUR-TA-10002041
410,CA-2021-117457,KH-16510,94110,OFF-PA-10002893
411,CA-2021-117457,KH-16510,94110,OFF-LA-10003766
412,CA-2021-117457,KH-16510,94110,OFF-PA-10001970
413,CA-2021-117457,KH-16510,94110,FUR-BO-10001972
414,CA-2021-117457,KH-16510,94110,FUR-CH-10003956
415,CA-2021-142636,KC-16675,98105,OFF-PA-10000157
416,CA-2021-142636,KC-16675,98105,FUR-CH-10001891
417,CA-2021-122105,CJ-12010,92646,OFF-AR-10004344
418,CA-2020-148796,PB-19150,90004,FUR-CH-10004886
419,CA-2021-154816,VB-21745,40475,OFF-PA-10003845
420,CA-2021-110478,SP-20860,90045,OFF-AR-10001573
421,CA-2021-110478,SP-20860,90045,OFF-EN-10000483
422,CA-2018-142048,JE-15745,80027,TEC-AC-10004114
423,CA-2021-125388,MP-17965,01841,FUR-FU-10004712
424,CA-2021-125388,MP-17965,01841,OFF-ST-10000918
425,CA-2021-155705,NF-18385,39212,FUR-CH-10000015
426,CA-2021-149160,JM-15265,48187,FUR-FU-10003347
427,CA-2021-149160,JM-15265,48187,OFF-BI-10001543
428,CA-2018-101476,SD-20485,10801,TEC-MA-10000029
429,CA-2021-152275,KH-16630,78207,OFF-AR-10000369
430,US-2020-123750,RB-19795,28052,OFF-BI-10004584
431,US-2020-123750,RB-19795,28052,TEC-AC-10004659
432,US-2020-123750,RB-19795,28052,TEC-AC-10004659
433,US-2020-123750,RB-19795,28052,OFF-ST-10000617
434,CA-2020-127369,DB-13060,01852,OFF-ST-10003306
435,US-2018-150574,MK-18160,32216,OFF-BI-10000773
436,US-2018-150574,MK-18160,32216,TEC-AC-10002600
437,CA-2020-147375,PO-19180,60623,TEC-MA-10002937
438,CA-2020-147375,PO-19180,60623,OFF-PA-10001970
439,CA-2021-130043,BB-11545,77070,OFF-PA-10002230
440,CA-2021-157252,CV-12805,10024,FUR-CH-10003396
441,CA-2020-115756,PK-19075,48227,FUR-FU-10000246
442,CA-2020-115756,PK-19075,48227,OFF-ST-10000060
443,CA-2020-115756,PK-19075,48227,OFF-ST-10003058
444,CA-2020-115756,PK-19075,48227,OFF-PA-10002222
445,CA-2020-115756,PK-19075,48227,FUR-CH-10002372
446,CA-2020-115756,PK-19075,48227,OFF-LA-10001317
447,CA-2021-154214,TB-21595,47201,FUR-FU-10000206
448,CA-2020-166674,RB-19360,13021,OFF-AR-10000588
449,CA-2020-166674,RB-19360,13021,OFF-ST-10001469
450,CA-2020-166674,RB-19360,13021,OFF-AR-10001953
451,CA-2020-166674,RB-19360,13021,OFF-AR-10003156
452,CA-2020-166674,RB-19360,13021,OFF-AR-10004974
